,sbj,runtrial,run,stimx,answer,response,rt,correct,type,trial,f1,f2,f3,c,endacc,learner,roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12,roi13,roi14,roi15,roi16,roi17,roi18,roi19,roi20,roi21,roi22,roi23,roi24,roi25,roi26,roi27,roi28,roi29,roi30,roi31,roi32,roi33,roi34,roi35,roi36,roi37,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi45,roi46,roi47,roi48,roi49,roi50,roi51,roi52,roi53,roi54,roi55,roi56,roi57,roi58,roi59,roi60,roi61,roi62,roi63,roi64,roi65,roi66,roi67,roi68,roi69,roi70,roi71,roi72,roi73,roi74,roi75,roi76,roi77,roi78,roi79,roi80,roi81,roi82,roi83,roi84,roi85,roi86,roi87,roi88,roi89,roi90,roi91,roi92,roi93,roi94,roi95,roi96,roi97,roi98,roi99,roi100,roi101,roi102,roi103,roi104,roi105,roi106,roi107,roi108
5199,139,12,6,3,0,0.0,633.0,1,rule follower,132,1,2,1,1,0.625,high,0.009444453834000001,0.358116252,0.1364848016,0.23350720789999999,-0.10769950689999999,-0.06034547543,-0.02160042983,-0.22056252269999999,-0.04819120778,-0.08001557583999999,-0.1090062993,-0.09390527091,-0.01678828517,0.039981081089999995,0.05978864727999999,0.09677276757999999,-0.18600628309999998,-0.2959598043,-0.16236976779999998,-0.0402480829,0.012648224769999999,-0.027892001139999997,0.06680989042,0.07118251173,-0.2974259509,0.2397571407,0.044423981519999996,0.030803189789999998,-0.02864849735,0.02313912602,0.08464423015,0.1548102559,0.010423365450000001,0.26687161719999997,-0.2132918014,0.2302217175,-0.1598991145,0.3072778398,-0.1862122188,-0.09519315868999999,-0.06578686864,-0.1445360875,0.10282510460000001,-0.23893438179999998,-0.04642191256,-0.1280689485,-0.1740648259,-0.1321637988,0.01852732739,-0.163037976,0.05225603989,0.13437593650000001,0.21582920809999998,0.051407188300000004,-0.06540597243,0.050522040319999996,0.09047229043999999,0.1313969853,0.06242244296,0.0546932937,-0.13162371650000002,-0.1512408725,-0.1937037106,0.045861294670000004,0.1258725092,0.1906566935,0.3142645132,-0.032217030810000005,-0.1407879001,0.2388772343,0.02476861385,0.0332789831,0.1166180057,-0.02244260584,0.6096793359,0.4815738082,0.1367019238,0.03879146908,-0.07652322085,0.24004320199999998,0.2391123979,0.1229750709,0.009288816661,0.1363749331,0.19889246170000002,0.22605020260000003,0.03936641524,0.166638845,0.1082113812,0.3237212085,-0.06708042221,-0.049772556569999994,-0.07853854636,-0.1440765241,-0.14227694529999999,-0.10289529609999999,-0.007241011282,-0.1355426221,0.03753651686,0.04641474919,-0.022084932,-0.01172573552,0.03474131528,-0.1244870514,-0.1556696947,-0.0603267775,-0.05475622098999999,0.062169025270000004
5200,139,13,6,1,0,0.0,1003.0,1,prototype,133,1,1,1,1,0.625,high,-0.1273768647,-0.42086976649999996,-0.4958589221,-0.1370896941,0.0163386045,0.04518189848,-0.03519131475,0.05838936847,0.23138618460000002,0.3117427917,0.02648287017,0.14470811150000001,0.2556163996,0.1895812468,0.356788234,-0.06088207118,0.012804992809999999,0.1415380678,0.3484005676,0.09314932917999999,0.3239998042,0.09820184769,0.05125567116,-0.0008794355344000001,0.14498815939999998,0.005209943133,-0.10374389380000001,-0.07301646415,-0.0042108945929999995,0.051831022489999996,-0.1347911017,-0.07161687435,0.1418623802,-0.2178854816,-0.1553640898,-0.02848054125,-0.09511095213,-0.219130661,-0.138135159,-0.1747116925,0.06806440700000001,0.24027334809999998,-0.21900049510000003,-0.02024507821,-0.002754547823,0.116265287,0.040979571299999996,0.050264019060000005,0.006117251857,0.38354120630000005,-0.005946089464,-0.5435819449,-0.1014347687,-0.1308597084,0.1812007907,-0.1753389041,0.06451913903,-0.0595747117,0.045185842000000004,0.25794070199999997,0.23072998460000002,0.12019169960000001,0.1735204741,0.1654066655,0.043650614510000005,0.1593643008,-0.1415554986,0.14080757119999998,0.2138594147,0.05732004744,0.15337518449999998,0.05403758193,0.04385078143,0.1748685948,-0.1495226669,-0.045586861660000005,-0.13260151109999999,-0.1282545831,0.03113984613,-0.05938166746,-0.1536130914,0.0506094326,-0.07084579556,-0.122889175,-0.1650744375,-0.1266853688,-0.0001929707273,0.001659840789,-0.1451261473,-0.07557665699,0.02394587136,-0.04367659112,-0.0169005473,0.044705637570000005,0.012462572290000001,0.1665490678,-0.01262519619,0.1495009409,0.12194476439999999,0.2653725276,-0.02491467067,-0.03887324938,-0.07052961291,-0.04557259983,0.08392038403999999,-0.01801037293,-0.02688817295,-0.06863862982
5201,139,14,6,6,0,0.0,1725.0,1,exception,134,2,1,2,1,0.625,high,0.0876761489,0.0670071257,-0.4620769164,0.03450606483,-0.008443243946999999,-0.3242233364,-0.09594297761,0.01997773118,-0.08048296702999999,0.04590490433,-0.06320209926,0.06888569697000001,-0.06171235109,0.05852306075,0.027001978139999997,0.1494504257,0.1893300896,0.039568715930000005,0.2300475864,0.10174299960000001,0.09491193567,0.03341454522,-0.19795486920000002,0.1150307514,0.02458931437,-0.01339861876,0.01789776092,-0.07024677842999999,0.03314973821,-0.1639354906,-0.1479157699,-0.2775781787,-0.2208742076,-0.0852607285,0.1941975634,0.3206956056,-0.08656006252999998,-0.2117450471,0.1556821023,0.2267061895,-0.004363536045000001,0.05021721767,-0.26762513920000003,0.08075336823,-0.32872164,-0.02013612227,-0.24333295719999998,0.2013496055,-0.02643990895,-0.005969393033,0.08327841392999999,-0.1504571096,-0.030231696789999995,-0.3272819348,0.1262152287,0.02244038392,0.08752926939,0.23520224829999997,0.2581223389,-0.09380651197999999,-0.02268105079,-0.01007264073,0.008325290696,-0.19123967050000001,0.01753207024,0.046229323499999996,0.0050431106170000005,0.2763183209,0.2090987164,0.1723364475,0.035276739460000005,-0.06428543873999999,0.1120533517,0.01812974512,-0.34635061170000003,-0.0027312132179999997,0.07097840796,0.04307017272,0.06032294908,-0.1321748131,-0.2776200943,-0.22699357539999998,-0.048770241500000006,-0.06276433227000001,-0.2559066873,-0.02840842474,0.025972348819999998,0.1513247661,-0.11585257730000001,0.1000692375,0.116071552,0.2342611387,0.061262374960000004,-0.01787148005,-0.1362803853,0.1890506963,0.025860758509999998,0.1165034502,0.05358298513,-0.07020300842,-0.04568980169,-0.09126593863,0.1192932884,-0.005921330929000001,-0.051871617450000004,0.06093548017000001,0.2324466104,-0.007204210463
5202,139,15,6,2,0,0.0,861.0,1,rule follower,135,1,1,2,1,0.625,high,0.33169536190000004,0.2295108016,0.22810147890000002,0.4941254203,0.0692214424,0.1099488626,-0.01211416376,-0.36684869649999996,-0.2772182309,-0.2440626918,-0.1777144121,-0.1337216554,-0.1756720131,0.1877305281,0.42725829590000003,0.1710093847,-0.1271895749,-0.24854140289999999,-0.15954915449999998,-0.08259358802,-0.01028688709,-0.034702666210000004,0.06313203801,-0.1396732373,-0.2283864906,-0.01504641489,-0.024907498190000002,0.08318620672,-0.00260806875,0.1115832619,0.3299641208,0.3524777974,0.2849066023,0.021778913969999997,-0.2937282582,-0.1656126211,-0.1066601619,0.33384975219999996,-0.1841221945,-0.16131861849999998,-0.0613565405,-0.1129153031,0.2423637505,-0.10344611960000001,0.1526045893,-0.08798331937000001,0.1779977223,0.0703620593,0.1864324886,-0.328521612,0.1747463229,0.1881593669,0.6309990641,0.30064024429999997,0.1322982717,-0.09033333752,-0.05423265372,-0.2826407926,-0.2791985501,-0.3005713697,-0.1399772089,-0.23188619800000002,-0.1781575314,-0.1393718853,0.2958393197,0.4150475382,0.28583754219999996,-0.128353349,-0.2120316799,-0.052131369639999994,-0.01062919057,0.05704445714,-0.02080632383,-0.1371851949,0.1125825132,-0.11688513199999999,-0.08834233042999999,-0.026131586890000003,-0.07791229413,0.1447626421,0.3690920604,0.2932952453,0.0007541012126,-0.02308957452,0.1376252525,-0.057625372960000004,-0.1023584977,-0.04893799767,-0.2334858226,-0.023988097799999997,-0.15609750990000001,-0.17652079699999998,-0.2965737948,0.04906816391,0.07233988934999999,0.15109181900000002,0.08745715965,-0.07179922772999998,-0.21715768719999998,-0.050372737960000004,-0.04076943803,0.1277957471,-0.13345289230000001,0.08134211752,0.02975312857,0.06984961286000001,-0.1789406416,0.01619794218
5203,139,16,6,4,1,,,0,rule follower,136,1,2,2,2,0.625,high,-0.1760573527,-0.3339859859,-0.7051084359,-0.39313112100000003,-0.2107876715,-0.49257074219999997,-0.25297268170000003,-0.12189400859999999,-0.056666975710000005,0.2413305178,0.1418703307,0.2583533791,0.49349987,0.0191598638,-0.1299223026,-0.1568714595,0.2313839868,-0.045981710860000004,0.08276607027,-0.006820884693999999,0.2405013183,0.1139423588,-0.060784738389999995,0.10841515199999999,0.1082396597,0.0178271786,-0.023695264249999997,-0.01302486805,0.06932812475,-0.0003788755853,-0.1307513101,-0.05062309536,-0.07292376653,0.08289265494,-0.09145941835000002,-0.027943816110000002,0.02978597981,0.0006766467747,-0.02008672736,0.1504612577,0.1668090743,0.1426413859,0.05738975833,0.1514654728,0.07800930919,-0.0032631395159999996,0.1355800919,-0.1163239506,-0.0035296985700000003,0.22420778309999997,-0.1499237149,-0.49975030579999996,-0.4361205556,-0.6247833152000001,-0.02446664551,-0.24743909449999998,0.19474400260000002,0.12045119060000001,0.0131330763,0.038201045780000005,0.1906394543,0.1703752284,0.2694467646,0.5822654439,-0.08505332505,-0.07766923994,-0.1102280959,0.09084816549000001,-0.01532227419,0.1956330196,0.4262423188,0.08556434909,0.01979012653,0.01292773629,0.124169535,0.04749446448,-0.027087849780000003,0.016112194269999998,0.056335085179999994,0.01775531688,0.017492609519999997,0.07974061746,0.035079095899999996,0.02414713642,0.0036084513679999998,0.016475496359999998,-0.02664166934,-0.08944011664999998,0.09646106311000001,0.06720935079,0.10602964710000001,0.18971037989999998,0.1867226293,0.0129658871,0.1537037004,0.08528765291000001,-0.019970627619999997,0.1667030797,0.1852897882,0.1980463388,-0.1100104292,-0.04013412488,-0.01064262996,0.0402466626,-0.1157869589,0.09024147434,0.053339357680000005,-0.08596510178
5204,139,17,6,1,0,,,0,prototype,137,1,1,1,1,0.625,high,0.17649399079999997,0.7227749537,0.1897645463,0.4785095479,0.11379203449999999,0.2256247609,0.5471723193,0.4237215661,0.4609563492,0.2824893887,0.1813835347,-0.05886244706,0.2694958209,-0.06486127230000001,0.2847382236,0.05918245707000001,-0.2592109847,0.48100771979999996,0.696004244,-0.12566659019999998,-0.2743324102,0.013758106840000001,-0.2972811751,0.0009062108667999999,-0.2090167253,-0.024339007790000002,-0.12182043320000001,-0.09016513295,-0.032782998,-0.2148635579,-0.5847834059,-0.2613583826,-0.2185208504,0.06475385262,0.058818358429999995,-0.07698872738,0.006649403107,-0.2609747046,0.1573233734,0.1764095013,0.148997732,0.3116914731,-0.08710069159,0.3127380465,0.06157232235,0.0678013898,0.09578518732,0.1371552076,0.003621500675,0.3094230515,0.22349503760000003,0.39120661009999996,0.268638056,0.10637092029999999,0.26770688789999997,0.48153056380000003,-0.2035539794,0.2720863406,0.588077936,0.5461889764,0.1013770692,0.1186598363,-0.09594915553,0.4978100667,-0.02030247705,-0.02095940691,-0.09635162783,0.04817000995,0.4233984932,-0.08474934289,-0.3860369361,-0.1480057663,-0.06778775647,-0.267101547,-0.6014125019,-0.201889211,-0.11178281109999999,0.033199231780000005,0.006176712981,-0.3578301022,-0.22829953120000002,-0.3697427439,-0.1146526286,-0.1513986662,-0.22303523879999998,0.001414153541,0.1326366143,0.003914273813,-0.03692804824,-0.1780069571,0.06197011785,0.06449750882000001,0.24997797719999998,-0.014503968869999998,-0.050738894550000004,0.17503897219999998,-0.07212223275,-0.024223687639999998,0.1433718134,-0.1363059777,-0.1053330007,-0.1169870287,-0.032829736160000005,-0.052960014580000006,-0.03363841794,0.05692371005,0.060254531429999994,-0.1387217954
5205,139,18,6,1,0,0.0,683.0,1,prototype,138,1,1,1,1,0.625,high,-0.1162818223,-0.10977510900000001,0.1449481574,-0.4339812855,-0.18193243109999999,-0.10701111519999999,-0.4972080781,-0.5816085434,-0.4688846365,-0.11340399949999999,-0.22262756170000003,0.01668664864,-0.1440299314,-0.0417889221,-0.3123917366,-0.2852843873,0.018102882119999997,-0.6351274791,-0.4997669759,-0.032594104080000005,0.22169436809999998,0.048697506560000006,0.1514812028,0.02480228156,-0.08215676099,0.1638039792,-0.06079115736000001,-0.07272736632,-0.01050377959,0.04654030776,0.1006731481,0.14250843470000002,0.046873325480000005,0.1879146741,-0.04141828749,0.008893909166999999,-0.002051703211,0.1164413406,-0.1040750067,-0.11663159220000001,-0.08742134635,-0.17604930989999998,0.07558395972,-0.12673702480000001,0.02233974824,-0.06636745247,-0.1118524065,0.016948007180000002,-0.06877743265,-0.06993650182,-0.1319325018,0.04154058148,-0.33068042870000003,0.12606873300000002,-0.184140373,-0.3563052993,-0.07232473295,-0.1895397742,-0.5234148557,-0.3481560161,-0.11729749199999999,-0.2030099803,0.008636868948,-0.21730452120000002,-0.12654302609999998,-0.0002408388797,-0.1596713218,-0.21521640879999998,-0.2917057294,-0.0001442871047,0.3085175256,0.1030793694,0.08979565804999999,0.01653981733,0.7100980805,0.358731284,0.08659677666000001,0.036258602599999995,-0.06090560302999999,0.18914236329999998,0.33103198489999996,0.1130898445,0.03271217459,0.20242332670000002,0.2682925759,0.2403287214,0.01867400135,0.04096788612,0.40697815880000004,0.2316205438,0.06842332975,-0.03072457043,0.1375240017,-0.02662228349,0.1260898475,-0.08501016211000001,-0.07120797007999999,-0.064553743,0.07020602831,0.1138510093,0.0063732699600000005,0.152582457,0.1630372571,0.1218841909,-0.005092526093,-0.040176989839999996,0.07708821431,-0.006428443177
5206,139,19,6,8,1,1.0,936.0,1,prototype,139,2,2,2,2,0.625,high,-0.23620907289999998,-0.1782210648,0.020511809199999998,-0.47314612030000003,-0.1536782978,-0.07874512746000001,-0.19761831370000002,-0.189465983,-0.1185308996,-0.14696574269999998,-0.11473139939999999,-0.1940248209,-0.07573706937000001,-0.09579884329,-0.3226421207,-0.4922492554,-0.18350757739999998,-0.3475503017,-0.37247207920000003,0.06043318427,0.1820605648,-0.008632172854000001,0.11465109960000001,-0.004525159314,0.1036706205,0.1868439813,0.1752555088,0.01183767039,0.01754144455,-0.006705093802,-0.1681564863,0.1512124706,0.1266421112,0.04541306846,-0.2530126364,-0.245496574,0.1428930116,0.22156889510000002,-0.2134551416,-0.1123036719,-0.03778581611,-0.05719068966,-0.1126914833,0.14176010449999998,0.4153686565,0.01724540354,0.1656832362,-0.17936466210000002,-0.147822736,0.21747074370000002,-0.2627238632,-0.22715591570000002,-0.4161520136,-0.124666425,-0.1547585518,-0.37064731520000005,-0.29896323129999997,-0.30430082059999997,-0.37744938299999997,-0.09958590178,-0.12622466970000001,-0.1969154502,-0.2538141129,-0.2399430688,-0.24655527300000002,-0.3038297556,-0.41310835840000004,-0.4680448532,-0.2267691443,-0.05931420385,-0.07818613384999999,0.001761337646,0.026060897779999998,-0.03627012133,0.36971672130000005,0.1665679534,0.1730986605,0.018603063080000003,0.01021967913,-0.1552935215,0.20817138670000002,0.04395623637,-0.09004556386,-0.07299849029,0.2113282077,0.0699488895,0.10805334130000001,-0.24260919190000002,0.1632751693,0.1903720277,-0.2153925976,-0.2022650191,0.2632366087,-0.011747412879999999,0.1532805817,-0.19688677289999998,-0.05750267318,-0.07412047063999999,-0.05486099984,0.07898811861,0.1852778724,0.1344170741,0.16552895199999998,0.06525639553,-0.1050054409,-0.028598491910000003,0.19284558989999998,0.06854483529
