,roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12,roi13,roi14,roi15,roi16,roi17,roi18,roi19,roi20,roi21,roi22,roi23,roi24,roi25,roi26,roi27,roi28,roi29,roi30,roi31,roi32,roi33,roi34,roi35,roi36,roi37,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi45,roi46,roi47,roi48,roi49,roi50,roi51,roi52,roi53,roi54,roi55,roi56,roi57,roi58,roi59,roi60,roi61,roi62,roi63,roi64,roi65,roi66,roi67,roi68,roi69,roi70,roi71,roi72,roi73,roi74,roi75,roi76,roi77,roi78,roi79,roi80,roi81,roi82,roi83,roi84,roi85,roi86,roi87,roi88,roi89,roi90,roi91,roi92,roi93,roi94,roi95,roi96,roi97,roi98,roi99,roi100,roi101,roi102,roi103,roi104,roi105,roi106,roi107,roi108
0,0.2207035049,0.3815389099,0.3005920704,0.4726997703,0.2288631878,0.2302430933,0.1033827865,0.08229107629,-0.04849185752,-0.1392824102,-0.02834934175,-0.1373269467,-0.03417970763,0.1435597864,0.1278144002,0.2294413224,-0.07579077002,0.131673321,-0.05002810465,0.02906742824,-0.1371707874,-0.03392905594,0.0125652346,-0.1468227089,-0.04180454302,-0.2918821945,-0.1097605391,-0.06345543503,-0.0006383033229,-0.03459777234,0.03866983458,0.005192653082,0.03056498859,-0.01536747876,0.188033796,-0.1342620895,-0.09609368103,-0.0372878037,-0.112145563,-0.1448904456,-0.01853971758,-0.1130359309,-0.1617920223,-0.2554710998,0.0143259335,-0.00284979474,0.07559139771,-0.06885476656,-0.02061002743,0.00568775771,0.3622882789,0.5826029649,0.4524425735,0.3663536152,0.1454424324,0.2696284346,0.07903948951,0.06865931431,-0.05671106376,0.03058563023,-0.05782821713,0.03880734925,-0.04499289607,-0.2284767606,0.3383205309,0.07719761775,0.2784053422,-0.03545305747,-0.07718453391,0.0002066355681,-0.1591784755,-0.02656784452,-0.1793133552,-0.04174670324,-0.2471513646,-0.3752173395,-0.09186314294,-0.006911038676,0.004072138609,-0.02654409598,-0.01298790575,0.005036322306,-0.07604937926,-0.2909792287,-0.03019351954,-0.06420227798,-0.1616588281,0.07041836232,-0.1731359829,-0.1679931795,-0.08549283667,-0.1365474155,-0.2534414493,0.09668894132,0.04596861631,-0.01250085619,0.08906682864,-0.008387406119,-0.02973380695,0.04623148271,0.0208656794,0.00705795871,-0.01602579368,0.02026599158,-0.05148311413,-0.1020933394,-0.06928511734,-0.05869116763
1,-0.005708622432,0.2944014068,0.07681621026,0.06209761036,0.06340153737,0.01573765792,-0.1062511001,0.001300206446,-0.05016847878,-0.1748277194,0.02735126573,0.197794936,0.1038482858,-0.02651184442,0.05329565292,0.09094662327,0.3167892591,0.1522037599,-0.008280290847,0.03020998982,0.07343380081,-0.01810474996,-0.01468611127,-0.04270799212,0.0231714599,0.2243446004,0.0384382263,0.06380580895,-0.0192873796,0.01342219323,0.1361023183,0.2639080944,0.05955341525,0.03785899159,-0.007945082473,0.09631469285,-0.05443054462,0.1059818591,0.02991617087,-0.0694412785,-0.07971961959,-0.1016022765,-0.09984284165,0.09838594454,0.04800728132,0.07908092449,0.05324641631,-0.03482439716,-0.001327436195,-0.1030491698,-0.04475701556,0.1882641615,0.04170415621,-0.1795574098,-0.1483149132,-0.08811032849,-0.2457385542,-0.1996004758,-0.1077233907,-0.1684574633,-0.1334323399,0.009815185637,-0.01635748418,0.03145583386,0.004378916092,-0.1750383992,0.03451957782,0.04865137629,0.08072117777,0.01464443893,0.1469079274,-0.006556097153,-0.09850063174,-0.1120947509,-0.05125580291,0.1974811272,0.0349028788,-0.03355016903,-0.06849062632,-0.0004381991636,0.05855837887,-0.0576873339,-0.09047688611,-0.08430270462,0.09194815178,0.0163500803,-0.08866516227,0.01791953158,-0.1246848884,0.05875896102,0.07279360442,-0.1225996878,-0.002452856566,-0.05619261694,-0.02382137198,0.005454098793,0.01771425763,0.05095838516,-0.05138155434,-0.08622563506,-0.01177101504,-0.0811693341,0.01827392171,0.1762509884,0.03531655011,0.02783432989,0.001065486624,-0.04689264116
2,0.445271305,0.8064554048,0.4041204542,0.3572802877,0.102383317,-0.002428299341,-0.1052526804,-0.09224778769,0.02200700079,-0.004914999364,-0.01577505604,0.006213449735,-0.004243940027,0.1691577506,0.09282895598,0.1607243798,-0.0326560572,-0.1205610232,-0.003909862222,-0.002511458587,-0.1196580941,-0.02965418785,0.01834328494,-0.09119585995,-0.07098055195,-0.1631462121,-0.05556414176,-0.08214745857,0.02929940051,-0.001375147675,-0.1598458225,-0.08944784658,0.008882994754,-0.1887304401,-0.2633642525,-0.04097966419,-0.08962808433,-0.1386950142,-0.1667945476,-0.03570993568,-0.07417250697,-0.2954667392,-0.2221957128,-0.1919509412,-0.2138366634,-0.0208040306,-0.1459243031,-0.1371078346,0.04083396254,-0.1114858771,0.3042360891,0.531456922,0.4793340102,0.07568456229,0.01796826119,-0.04207499571,0.09779294901,0.1697755355,0.05625034867,0.004955733443,-0.00994599028,0.08820461033,-0.04198563972,-0.03093375955,0.2720561715,-0.02532553103,0.2583582503,0.1370776852,-0.09022342,0.01740148944,-0.06133313171,0.02887731032,-0.08676880525,-0.1259204777,-0.07848033432,-0.1168646379,-0.001497072452,0.01122137234,0.002209966343,0.05972952634,0.04152397421,0.1136449598,-0.07413429727,-0.1680898279,-0.1542249308,-0.09099180249,0.003337575993,-0.09470252222,-0.1942506001,-0.1048133714,-0.05988376188,0.01815221313,-0.02288448974,0.01871655628,-0.09884826023,-0.1541863319,0.001755086301,-0.041642397,-0.06124706093,-0.1397634751,-0.01279999991,-0.01750869506,-0.0178415572,0.0926339432,-0.05662038083,-0.05177278123,-0.1437557496,-0.02392098273
3,0.1196600736,0.45241796,0.2776367049,0.3463876737,0.1922500198,0.1771328555,0.2296836461,-0.04371949794,-0.003076597807,-0.04173044766,0.01328550975,0.01531426223,0.002207906784,-0.05598536653,-0.02154093786,0.0201670032,-0.09534372174,-0.03993966849,0.08031044676,-0.1418105847,-0.0168435301,0.03259313113,-0.05132465099,-0.004836848522,-0.1206424866,-0.1427903869,-0.07685667793,-0.1045293557,-0.02382021111,-0.1040584057,-0.08183578905,-0.04844739807,-0.1127703931,0.03865280335,0.1249306517,-0.166626175,-0.101484046,-0.1225756955,-0.07253077661,-0.1186299839,-0.09444064932,-0.1993896149,-0.179183144,-0.1597264654,-0.1572213366,-0.05680680858,-0.1007814361,-0.1154093864,-0.02455064886,-0.1344744866,0.2452125645,0.4239771973,0.1322478183,0.26060192,0.04779788646,0.27993258,-0.1292707545,-0.01736996738,0.0729010617,0.0001405199168,-0.09202916492,0.06699112726,0.0371601744,-0.06725512615,0.09049576614,-0.004368545352,0.005520111448,-0.1043300786,0.05800514726,-0.1545582934,-0.09661196506,-0.03312608018,-0.03820525209,-0.05409581606,-0.02829753166,-0.0721339003,-0.08958412869,-0.03722991345,-0.0656694732,-0.08225860624,0.03910813805,-0.09192483062,-0.1153404168,-0.1667448297,0.05033537612,0.08235722719,0.01005471045,0.03833476847,-0.09246804305,-0.1445178144,-0.03991966957,-0.09966369705,-0.1011967432,-0.01868227241,0.07446489644,-0.05030123323,0.0516980737,-0.04604375988,-0.1200089468,0.006279740136,-0.02348320536,0.01718167751,-0.05553449884,-0.09028456723,-0.09417236421,-0.07797879275,0.01053174241,0.04823085328
4,0.3398765648,0.5007853,0.211993859,0.321379198,0.03918243319,-0.1176013511,-0.3358834545,0.0599558553,-0.04450064525,-0.1937909766,0.04838168746,-0.05255282665,0.0764222958,0.3339521159,0.1676106357,0.4412378528,0.2553304813,0.116358827,-0.1247175615,0.04966664694,-0.01473379707,-0.04863021794,-0.05770683541,-0.1752109281,-0.005684250241,-0.2083118118,0.002456773677,0.009886656915,-0.04018896163,0.009907204699,0.2204694285,0.1557499003,0.2028158765,-0.04703507082,-0.007007307703,0.03921271217,-0.1752794739,0.009245462858,-0.1884692062,-0.1388526178,-0.04648383607,-0.12728072,-0.2046897479,-0.1028422556,-0.003352170377,-0.03517173842,0.1936743924,-0.1547898702,0.01932430402,-0.05079255979,0.2310983741,0.497218094,0.5176577861,-0.1893209159,-0.157148578,-0.2578651242,-0.02217404014,0.1136537662,-0.2104382142,-0.03255838418,-0.1755719048,-0.1139530032,-0.2428187673,-0.08860892399,0.3842173903,0.03380107335,0.3598656363,0.1046720994,-0.1209918276,0.08974314525,0.0500949666,-0.04613751502,-0.2321990158,-0.07458127645,-0.1362161984,-0.2295079558,-0.1057915855,-0.05859089486,-0.05223334223,0.1739527133,0.06113141331,0.1006979895,-0.07937048217,-0.3771979394,-0.1017111132,-0.03848135156,-0.1982338034,-0.01632416819,-0.2443748371,-0.09581690101,-0.06804593453,-0.1513990385,-0.1788911045,0.05729301309,0.003732169826,-0.01590813522,0.0633707725,-0.06476362354,-0.1164203065,-0.07889522144,0.02541302247,0.005261784452,0.01398636024,0.05146789584,0.02750604873,0.0113697323,-0.06316576481,0.03533262967
5,-0.12451528,0.1238241603,-0.1176094303,0.03801901619,0.05745347398,0.2047246406,-0.06832712763,-0.05843818414,-0.009390257934,-0.04827437624,-0.02744383481,0.1292509105,0.2339354188,0.08606735332,0.03989387967,-0.1872513342,0.1391586918,-0.1830745616,0.07562970919,-0.0513637592,0.1080724098,-0.06993733615,-0.01455343248,-0.03160628926,-0.05549215347,-0.1204325074,-0.1016025358,0.01503710086,0.03584383126,0.02930388763,-0.2730677005,-0.1541700008,-0.06797190107,-0.0303255853,-0.1496642906,-0.2276078389,-0.0389396894,-0.120594918,-0.03243196472,0.06101135424,-0.001458494914,0.03583167906,-0.1380162743,0.1535815964,-0.1317858785,-0.01864881551,0.07511329371,-0.108512822,0.04131336672,-0.17796159,-0.05952586407,0.01343592558,-0.1018080563,-0.0092037351,-0.04340878761,-0.05192798427,-0.01722849661,0.05704485488,-0.03042329696,0.05220171714,0.0189473622,0.05725798584,0.206057173,0.2210508156,0.01045844189,-0.1875237125,-0.2426709658,-0.06229181008,-0.0638721136,-0.1077819703,0.1549198652,0.01659146192,-0.1135548668,-0.0388154565,-0.08367437455,-0.1005690969,-0.04449200313,-0.003199524641,0.05158439962,-0.1559091731,-0.03870835711,-0.01272427406,0.08231932487,-0.1163111111,0.009974184034,0.02360014679,0.02785898857,-0.2083566764,-0.02478328309,-0.05550583647,-0.05163403782,0.1141974076,0.1657176357,0.06458582216,0.2092020425,-0.02732883671,-0.02094245927,-0.01864349949,0.1104821442,0.04456620126,0.04761603677,0.02239740371,0.0690146579,0.02755502581,0.08423399775,0.09572429252,-0.1225873387,-0.003491627346
6,0.1314969097,0.5191889415,0.1984930332,0.4557048754,0.1825991197,0.1481453555,0.2003672125,-0.1858034778,-0.1136156726,-0.0998332771,-0.04560873323,-0.004181217983,-0.2363010909,-0.05846289344,0.01587376692,0.01515837969,-0.1448664046,-0.09251582353,-0.1008731123,-0.166340974,-0.1572477738,-0.04124102914,0.02548448089,-0.02908831365,-0.2408350869,-0.05172525698,-0.09746808565,0.07405750359,0.009498010869,-0.1028320165,-0.2098698182,-0.1740844089,-0.1899076168,0.07297121925,-0.0264455006,-0.07949814941,-0.06694351698,-0.03931564638,-0.05470164788,0.1173936862,-0.05213015439,-0.2525657822,0.00589291961,-0.02759593927,-0.1549808332,0.0808717274,-0.01022417041,0.05806632959,0.055830163,-0.1220238455,0.210628322,0.4118454365,0.3042524202,0.2404140465,0.05999943976,0.2354137261,-0.2038707434,-0.1531678439,-0.1117371025,-0.173716318,-0.1394286159,-0.03470672137,-0.1209023159,-0.3665495421,0.1005678021,-0.07212278267,0.1197466315,-0.1272165317,-0.1172085836,-0.2148825349,-0.2509069959,-0.0278803173,-0.05750610565,-0.2078511,-0.07056241103,-0.1170856318,-0.03773568924,0.08894835639,-0.02126982092,-0.03195942648,-0.08307531168,-0.1305290637,-0.02432139973,0.07698683396,-0.1502936863,0.06094257701,-0.002959865822,0.07623976129,-0.2382494177,-0.03353252598,0.05442752383,0.1517746627,0.05593797038,0.1242906711,0.007557133245,0.07820721273,0.02108895467,-0.1039858404,-0.2011529859,-0.3338704832,-0.06703222295,-0.185907917,-0.08905366052,-0.07132741003,-0.05425736229,-0.06041272657,0.05205523522,-0.05890125436
7,0.2364593195,0.6175768467,0.2511136863,0.3751890423,0.1681128556,0.1600299429,-0.1607399418,0.08331915168,-0.02751148442,-0.1839588103,-0.00602072249,0.1631408272,0.5230447555,0.01349183168,0.09770334697,0.2791577137,0.3268223073,0.01569519939,-0.1184549082,0.0662914862,-0.08153052505,-0.06992307023,0.06970534212,-0.1297500425,0.0750091467,-0.01810958949,0.02984926302,-0.06971504688,0.03296935053,-0.03287023925,0.08272885616,0.1279778239,0.1219838732,0.09809992915,0.00105473821,-0.1620123031,-0.03383077202,0.004020222112,-0.05259625485,-0.1870297226,-0.0541551716,-0.1513386043,-0.2489872147,-0.0530379068,0.0344485639,0.07564237216,0.1870596042,-0.1322567755,0.03288247426,-0.04031442079,0.3271511355,0.6036645115,0.50784256,-0.02636469829,-0.1157598931,-0.1092824962,0.1032655593,0.1289152486,0.07956107137,-0.0177949527,-0.1178036036,0.05610621477,0.1409462385,0.4500539426,0.3168144899,-0.2200959951,0.2724472082,0.2596649511,-0.09665677311,0.01460280052,0.1571629311,0.00258489233,-0.06573192926,-0.02189656655,-0.3179729894,-0.1889289121,0.1091314169,-0.1204675528,-0.03208899943,-0.02324634966,0.1242604632,0.005568332424,-0.2053980075,-0.3965921526,0.04426279709,0.0001988643866,0.008923794821,-0.05186246055,-0.2874404696,-0.2297264766,-0.08192492636,-0.2735784287,-0.1220404366,0.1106142951,0.07777590427,-0.1990898959,0.07935430293,0.007734615243,-0.04005411121,-0.1362516606,-0.04220987432,-0.07574298818,-0.03259695232,0.01141273293,-0.04415064256,-0.009850743183,0.1468716797,-0.14987669
8,0.2111028052,0.473574311,0.3299255499,0.4689242826,0.1552807058,0.1656654877,0.1581842255,0.03576041124,-0.01542863978,-0.1449794724,-0.0188995209,-0.01438535602,-0.07971813139,0.1121181616,0.1505272293,0.2647198799,0.09846819761,0.1401570733,0.06945696462,0.09093869208,0.01459764889,0.03189456626,0.05107450286,-0.0165065314,0.009908939568,-0.03176401559,-0.01721147682,-0.0656231256,-0.04831762989,-0.08466809843,0.1389546352,0.1269523048,0.07115393616,-0.103705924,0.1658485692,-0.01235693213,-0.1193812916,-0.07903344446,-0.07645891563,-0.09402811738,-0.09083510893,-0.2277212768,-0.1635711422,-0.1055734504,-0.06739846393,0.0857159884,-0.01734143821,-0.002352824183,-0.05368086183,0.06122327561,0.2198838778,0.411941757,0.4234366876,0.1760128303,0.04712781705,0.1864405233,-0.1329881574,-0.1163854922,-0.1333910994,-0.03298107164,-0.1592216665,-0.04293249777,-0.1888102541,-0.2856309054,0.3171826366,0.02754538303,0.2636924853,-0.08707711627,0.05940860695,-0.007290988484,-0.04788602693,0.03254967364,-0.1973643946,-0.1279737629,-0.1879335417,-0.1125345285,-0.09757145736,-0.06947888443,-0.0820511475,0.008416640683,0.07375375443,-0.0691501214,-0.2056334068,-0.3781020906,-0.1498581734,-0.1020504957,-0.2012274539,0.1058805047,-0.3074844808,-0.1731325836,0.01877093387,-0.1649139118,-0.1869550682,0.02645983627,-0.1462148984,0.06007635072,0.04992942381,0.01039699541,-0.1267652694,-0.02105094378,-0.03093342224,-0.1107291179,-0.01782774599,0.07830941134,-0.03597909645,0.06960054236,-0.1275529054,-0.007615700118
9,0.3157675059,0.565667944,0.4363175338,0.167713744,0.1096498917,-0.1062436597,0.05326450559,-0.03977098492,-0.007460885773,-0.04951819441,-0.03602392077,-0.05429038241,-0.04812739189,0.05459908074,0.08679142836,0.09526732177,-0.05644541756,0.002628524494,0.0003109803341,-0.1434699514,0.01358952099,-0.003118452477,-0.002206083514,0.07885037933,-0.1540366544,-0.02410286552,-0.12611122,-0.002907649634,-0.03665198299,-0.09795219315,-0.1294455096,-0.09174661365,-0.0801892405,-0.009587718582,0.1599640856,0.1846503229,-0.002580130996,-0.0364164517,0.02704713868,0.07650021153,-0.1088656432,-0.3943247087,0.01369863431,-0.1437059838,-0.2854242975,-0.02499972568,-0.1677351327,0.1500306689,0.05862845444,-0.2260814039,0.1794602898,0.5426054928,0.2603995806,-0.02440388467,0.002802488725,0.09119525079,-0.08243025934,0.03481739528,0.1221649318,-0.07783279403,-0.003221296586,-0.01842891016,-0.07918393558,-0.1695004871,0.07913956064,0.1990045515,0.1294343927,0.03815769957,0.2298919971,-0.0202990752,0.02719665167,-0.03508144057,0.1097695302,-0.02175777443,0.09216728182,-0.0005666006508,-0.1647468737,0.001175120116,-0.04897851983,0.002275517652,-0.09659173398,-0.07204885691,-0.1099780827,-0.1367168747,-0.1709493999,-0.09257423378,0.03187300656,0.1828715842,-0.08676818773,-0.04344501641,0.06672154108,0.07643481702,-0.05250559134,0.07121644478,-0.1123952829,0.3518511401,0.03902806186,-0.02737157899,-0.1599132499,0.08292130368,-0.04072433037,-0.05362705537,-0.004109307753,-0.06878959326,-0.002120508269,-0.1024181172,0.1754611715,-0.008156018851
