,proto_slopes,rulefollower_slopes,exception_slopes,proto_rf,rf_excep,proto_excep
852,-0.044609949,-0.160074922,0.084398934,0.115464973,-0.244473856,-0.129008883
853,-0.122526795,-0.030425218,0.199077415,-0.092101577,-0.229502633,-0.321604209
854,-0.183596066,-0.227304281,0.044838878,0.043708214,-0.272143158,-0.228434944
855,-0.196597684,-0.013018664,0.199218348,-0.18357902,-0.212237012,-0.395816032
856,-0.156738175,-0.159209275,0.080662826,0.0024711,-0.239872101,-0.237401001
857,-0.087263169,0.186831881,0.056411497,-0.27409505,0.130420385,-0.143674666
858,-0.089955124,0.17323489,0.1387601,-0.263190014,0.03447479,-0.228715223
859,-0.058285115,-0.005838048,0.036950346,-0.052447067,-0.042788395,-0.095235462
860,-0.05199981,-0.083596194,0.238892881,0.031596384,-0.322489075,-0.290892691
861,0.07589166,0.053145535,-0.393671061,0.022746125,0.446816596,0.469562721
862,0.14387135,-0.156726508,-0.162775642,0.300597858,0.006049134,0.306646992
863,0.22262551,-0.127336552,0.354834412,0.349962062,-0.482170964,-0.132208902
864,0.167245602,-0.31107246,0.196151218,0.478318063,-0.507223678,-0.028905615
865,0.133754987,-0.115158663,0.278532245,0.24891365,-0.393690908,-0.144777258
866,0.140966869,-0.257352372,0.106759029,0.398319241,-0.364111401,0.03420784
867,0.201338166,-0.092011184,0.166291551,0.293349351,-0.258302735,0.035046616
868,0.14964105,-0.13650559,0.092336883,0.28614664,-0.228842473,0.057304167
869,0.152025508,-0.091025647,-0.234945531,0.243051155,0.143919884,0.386971038
870,0.06656704,-0.2984463,-0.049907814,0.365013339,-0.248538486,0.116474854
871,0.179965517,-0.181797502,-0.162930964,0.361763019,-0.018866538,0.342896481
872,0.07235728,-0.126640459,-0.192640487,0.198997739,0.066000029,0.264997768
873,0.219237241,0.093730134,-0.025392003,0.125507107,0.119122137,0.244629244
874,0.210204884,-0.014345056,-0.120222936,0.22454994,0.105877881,0.330427821
875,0.20927459,-0.052201819,-0.040776213,0.261476408,-0.011425605,0.250050803
876,0.091114977,-0.312288946,-0.015641617,0.403403922,-0.296647329,0.106756594
877,-0.087399724,-0.196826775,-0.1336149,0.10942705,-0.063211875,0.046215175
878,0.224084892,0.02002372,0.324624247,0.204061172,-0.304600527,-0.100539355
879,0.185106301,-0.00055535,-0.115833772,0.185661651,0.115278422,0.300940073
880,0.165909387,-0.056715834,-0.225059849,0.22262522,0.168344015,0.390969236
881,0.198990575,-0.046536888,-0.135776493,0.245527463,0.089239605,0.334767068
882,0.151562918,-0.112686836,0.153132522,0.264249754,-0.265819358,-0.001569603
883,0.221208047,0.107017731,0.079498877,0.114190317,0.027518854,0.141709171
884,-0.034512616,-0.093421281,-0.291479682,0.058908666,0.198058401,0.256967067
885,-0.118510959,-0.024149835,0.02613319,-0.094361124,-0.050283025,-0.144644149
886,-0.087241849,-0.101642331,0.255874397,0.014400482,-0.357516728,-0.343116246
887,-0.048037463,-0.134410752,0.17062525,0.086373289,-0.305036001,-0.218662712
888,0.00096175,-0.171737241,0.069581595,0.172698991,-0.241318836,-0.068619845
889,0.139039247,0.081809941,-0.061013441,0.057229306,0.142823382,0.200052688
890,0.027473504,-0.079189705,-0.198561501,0.106663209,0.119371796,0.226035005
891,0.010174354,-0.186514354,-0.182838192,0.196688708,-0.003676161,0.193012546
892,0.037081289,-0.055946906,-0.039445668,0.093028195,-0.016501238,0.076526958
893,-0.014461857,-0.231326961,-0.147344927,0.216865105,-0.083982034,0.132883071
894,0.158440466,-0.057615511,0.171789021,0.216055978,-0.229404532,-0.013348554
895,0.195968814,-0.090702821,0.041456087,0.286671635,-0.132158908,0.154512727
896,0.230115773,-0.069999436,-0.016401431,0.300115209,-0.053598005,0.246517204
