,node_name,mode
0,v_Intercept,0.04202642935407555
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10798041266564248
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.046184327824130095
3,v_roi15,-0.1498248022026636
4,"v_roi15:C(type, Treatment('prototype'))[T.exception]",0.9513635628363237
5,"v_roi15:C(type, Treatment('prototype'))[T.rule follower]",0.3038173283320196
6,a_Intercept,1.74763102799466
7,"a_C(type, Treatment('prototype'))[T.exception]",0.12257395968846083
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.059375280868864844
9,a_roi15,-0.7883825390507043
10,"a_roi15:C(type, Treatment('prototype'))[T.exception]",0.3407763184342021
11,"a_roi15:C(type, Treatment('prototype'))[T.rule follower]",0.00243522208786362
12,t_Intercept,0.3604236051292882
13,"t_C(type, Treatment('prototype'))[T.exception]",0.012962384843730579
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.022568647457181644
15,t_roi15,-0.08757012392528152
16,"t_roi15:C(type, Treatment('prototype'))[T.exception]",0.11083077094615751
17,"t_roi15:C(type, Treatment('prototype'))[T.rule follower]",0.05728804125162423
