,node_name,peak_value,parameter,roi
393,t_roi40,0.1077009315415681,t,40
394,"t_roi40:C(type, Treatment('prototype'))[T.exception]",0.10380727759779013,t,40
395,"t_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.011518365028261812,t,40
396,v_Intercept,0.09121493541820573,v,41
397,"v_C(type, Treatment('prototype'))[T.exception]",0.020404117633615937,v,41
398,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.025871115369770332,v,41
399,v_roi41,1.4771613460583997,v,41
400,"v_roi41:C(type, Treatment('prototype'))[T.exception]",-1.7823276966789106,v,41
401,"v_roi41:C(type, Treatment('prototype'))[T.rule follower]",0.3170664153330178,v,41
402,a_Intercept,1.7202806050231747,a,41
403,"a_C(type, Treatment('prototype'))[T.exception]",0.0662943986256272,a,41
404,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.00580500600835826,a,41
405,a_roi41,-1.6580282626689629,a,41
406,"a_roi41:C(type, Treatment('prototype'))[T.exception]",-0.3089594210999622,a,41
407,"a_roi41:C(type, Treatment('prototype'))[T.rule follower]",-0.9598851095538404,a,41
408,t_Intercept,0.3586897214850371,t,41
409,"t_C(type, Treatment('prototype'))[T.exception]",0.025617250564091858,t,41
410,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03193547390613144,t,41
411,t_roi41,0.1084752652189418,t,41
412,"t_roi41:C(type, Treatment('prototype'))[T.exception]",0.4170062891694949,t,41
413,"t_roi41:C(type, Treatment('prototype'))[T.rule follower]",0.045933677368501236,t,41
414,v_Intercept,0.049071115768848636,v,42
415,"v_C(type, Treatment('prototype'))[T.exception]",0.08714031170296907,v,42
416,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.047121624618034964,v,42
417,v_roi42,0.17803649075462644,v,42
418,"v_roi42:C(type, Treatment('prototype'))[T.exception]",0.2053541766740694,v,42
419,"v_roi42:C(type, Treatment('prototype'))[T.rule follower]",0.19941275250655546,v,42
420,a_Intercept,1.7417550366432542,a,42
421,"a_C(type, Treatment('prototype'))[T.exception]",0.08056922374175965,a,42
422,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04308350515952234,a,42
423,a_roi42,-0.8664886240925319,a,42
424,"a_roi42:C(type, Treatment('prototype'))[T.exception]",0.07935232172597884,a,42
425,"a_roi42:C(type, Treatment('prototype'))[T.rule follower]",-0.1010270188274649,a,42
426,t_Intercept,0.35483614699489524,t,42
427,"t_C(type, Treatment('prototype'))[T.exception]",0.016176301044864803,t,42
428,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02949934436341605,t,42
429,t_roi42,0.004723897306556535,t,42
430,"t_roi42:C(type, Treatment('prototype'))[T.exception]",-0.04730736487661796,t,42
431,"t_roi42:C(type, Treatment('prototype'))[T.rule follower]",0.03012931130138635,t,42
432,v_Intercept,0.07196891650474825,v,43
433,"v_C(type, Treatment('prototype'))[T.exception]",0.02562533076927273,v,43
434,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.038464207857358435,v,43
435,v_roi43,0.3415212991854346,v,43
436,"v_roi43:C(type, Treatment('prototype'))[T.exception]",-0.9723932256374472,v,43
437,"v_roi43:C(type, Treatment('prototype'))[T.rule follower]",0.1426241352690888,v,43
438,a_Intercept,1.7166297040022391,a,43
439,"a_C(type, Treatment('prototype'))[T.exception]",0.11456164858717476,a,43
440,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06183639758871089,a,43
441,a_roi43,-0.8851760550549477,a,43
442,"a_roi43:C(type, Treatment('prototype'))[T.exception]",-0.04071955598972865,a,43
443,"a_roi43:C(type, Treatment('prototype'))[T.rule follower]",0.06216884355261796,a,43
444,t_Intercept,0.3611709360677422,t,43
445,"t_C(type, Treatment('prototype'))[T.exception]",0.014044058416110505,t,43
446,"t_C(type, Treatment('prototype'))[T.rule follower]",0.025178311572501645,t,43
447,t_roi43,0.13115406796163004,t,43
448,"t_roi43:C(type, Treatment('prototype'))[T.exception]",0.031042202018149057,t,43
449,"t_roi43:C(type, Treatment('prototype'))[T.rule follower]",-0.07070587460684996,t,43
450,v_Intercept,0.09754646959116986,v,44
451,"v_C(type, Treatment('prototype'))[T.exception]",0.007019125425333839,v,44
452,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02889502891263176,v,44
453,v_roi44,0.6133382015512419,v,44
454,"v_roi44:C(type, Treatment('prototype'))[T.exception]",-0.7773859061134598,v,44
455,"v_roi44:C(type, Treatment('prototype'))[T.rule follower]",-0.055842605594470296,v,44
456,a_Intercept,1.7157178471825123,a,44
457,"a_C(type, Treatment('prototype'))[T.exception]",0.0445653045126585,a,44
458,"a_C(type, Treatment('prototype'))[T.rule follower]",0.01228553026262244,a,44
459,a_roi44,-1.0193826481376809,a,44
460,"a_roi44:C(type, Treatment('prototype'))[T.exception]",-0.26688009876027485,a,44
461,"a_roi44:C(type, Treatment('prototype'))[T.rule follower]",-0.3747308465035695,a,44
462,t_Intercept,0.3587918144552082,t,44
463,"t_C(type, Treatment('prototype'))[T.exception]",0.04249122542984818,t,44
464,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03605276754972113,t,44
465,t_roi44,0.0633615876140882,t,44
466,"t_roi44:C(type, Treatment('prototype'))[T.exception]",0.26651384185270577,t,44
467,"t_roi44:C(type, Treatment('prototype'))[T.rule follower]",0.04457947929217127,t,44
468,v_Intercept,0.08868259527400707,v,48
469,"v_C(type, Treatment('prototype'))[T.exception]",0.030327738468016674,v,48
470,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.054636873843768224,v,48
471,v_roi48,0.8178493049612205,v,48
472,"v_roi48:C(type, Treatment('prototype'))[T.exception]",-1.336324837778769,v,48
473,"v_roi48:C(type, Treatment('prototype'))[T.rule follower]",0.1682195480092099,v,48
474,a_Intercept,1.7224390413302983,a,48
475,"a_C(type, Treatment('prototype'))[T.exception]",0.13491484820640146,a,48
476,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06447907740331618,a,48
477,a_roi48,-1.020183019417137,a,48
478,"a_roi48:C(type, Treatment('prototype'))[T.exception]",0.0030896601810130875,a,48
479,"a_roi48:C(type, Treatment('prototype'))[T.rule follower]",-0.09258260017622688,a,48
480,t_Intercept,0.3730722127197461,t,48
481,"t_C(type, Treatment('prototype'))[T.exception]",-0.0015507847531620186,t,48
482,"t_C(type, Treatment('prototype'))[T.rule follower]",0.012898898152106042,t,48
483,t_roi48,0.17903314425919836,t,48
484,"t_roi48:C(type, Treatment('prototype'))[T.exception]",-0.00787915203540468,t,48
485,"t_roi48:C(type, Treatment('prototype'))[T.rule follower]",-0.1602183527954298,t,48
486,v_Intercept,0.07262061883973125,v,51
487,"v_C(type, Treatment('prototype'))[T.exception]",0.16688991088497826,v,51
488,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.10545709612471199,v,51
489,v_roi51,-0.2625124436414734,v,51
490,"v_roi51:C(type, Treatment('prototype'))[T.exception]",-0.2859697946290183,v,51
491,"v_roi51:C(type, Treatment('prototype'))[T.rule follower]",0.2996315668852165,v,51
492,a_Intercept,1.6091837295813525,a,51
493,"a_C(type, Treatment('prototype'))[T.exception]",0.06474001703869645,a,51
494,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06885833812442849,a,51
495,a_roi51,1.3420319323030048,a,51
496,"a_roi51:C(type, Treatment('prototype'))[T.exception]",0.1534580744220202,a,51
497,"a_roi51:C(type, Treatment('prototype'))[T.rule follower]",-0.21994842141563886,a,51
498,t_Intercept,0.3656772301556249,t,51
499,"t_C(type, Treatment('prototype'))[T.exception]",0.03095574407707952,t,51
500,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027259049298340998,t,51
501,t_roi51,-0.10346635563845527,t,51
502,"t_roi51:C(type, Treatment('prototype'))[T.exception]",-0.15053609291679734,t,51
503,"t_roi51:C(type, Treatment('prototype'))[T.rule follower]",-0.020788731166220764,t,51
504,v_Intercept,0.10848748114663108,v,52
505,"v_C(type, Treatment('prototype'))[T.exception]",0.19619133742355405,v,52
506,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0920103762073466,v,52
507,v_roi52,-0.2268300431335626,v,52
508,"v_roi52:C(type, Treatment('prototype'))[T.exception]",-0.2207463804723161,v,52
509,"v_roi52:C(type, Treatment('prototype'))[T.rule follower]",0.1412799528309091,v,52
510,a_Intercept,1.5724423893370147,a,52
511,"a_C(type, Treatment('prototype'))[T.exception]",0.25550826813835537,a,52
512,"a_C(type, Treatment('prototype'))[T.rule follower]",0.07111868323132764,a,52
513,a_roi52,0.6101685022339325,a,52
514,"a_roi52:C(type, Treatment('prototype'))[T.exception]",-0.4696468273944564,a,52
515,"a_roi52:C(type, Treatment('prototype'))[T.rule follower]",-0.139045178684851,a,52
516,t_Intercept,0.38112469869430776,t,52
517,"t_C(type, Treatment('prototype'))[T.exception]",-0.014419880750916741,t,52
518,"t_C(type, Treatment('prototype'))[T.rule follower]",0.005266451688911322,t,52
519,t_roi52,-0.09020347461527324,t,52
520,"t_roi52:C(type, Treatment('prototype'))[T.exception]",0.09068296129350427,t,52
521,"t_roi52:C(type, Treatment('prototype'))[T.rule follower]",0.09393423250104907,t,52
522,v_Intercept,0.033279117231138244,v,53
523,"v_C(type, Treatment('prototype'))[T.exception]",0.2319722315845983,v,53
524,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.11294470237900185,v,53
525,v_roi53,0.0053757902055141535,v,53
526,"v_roi53:C(type, Treatment('prototype'))[T.exception]",-0.8199922494377742,v,53
527,"v_roi53:C(type, Treatment('prototype'))[T.rule follower]",0.32624369430518163,v,53
528,a_Intercept,1.6389541374215195,a,53
529,"a_C(type, Treatment('prototype'))[T.exception]",0.10702818328565923,a,53
530,"a_C(type, Treatment('prototype'))[T.rule follower]",0.055715077564108484,a,53
531,a_roi53,0.9638818344524084,a,53
532,"a_roi53:C(type, Treatment('prototype'))[T.exception]",-0.08694496612049496,a,53
533,"a_roi53:C(type, Treatment('prototype'))[T.rule follower]",-0.04302017343502251,a,53
534,t_Intercept,0.3637903821428406,t,53
535,"t_C(type, Treatment('prototype'))[T.exception]",0.01308912561210731,t,53
536,"t_C(type, Treatment('prototype'))[T.rule follower]",0.025207072435474855,t,53
537,t_roi53,-0.004856052126439636,t,53
538,"t_roi53:C(type, Treatment('prototype'))[T.exception]",-0.004783471038608211,t,53
539,"t_roi53:C(type, Treatment('prototype'))[T.rule follower]",0.002801499963152209,t,53
540,v_Intercept,0.03708656542045982,v,60
541,"v_C(type, Treatment('prototype'))[T.exception]",0.09619249540775117,v,60
542,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02946045776763637,v,60
543,v_roi60,-0.07266204472528147,v,60
544,"v_roi60:C(type, Treatment('prototype'))[T.exception]",-0.18437730183588694,v,60
545,"v_roi60:C(type, Treatment('prototype'))[T.rule follower]",-0.1069115909911964,v,60
546,a_Intercept,1.7347869656824342,a,60
547,"a_C(type, Treatment('prototype'))[T.exception]",0.11386129165841373,a,60
548,"a_C(type, Treatment('prototype'))[T.rule follower]",0.05125836814120927,a,60
549,a_roi60,-0.93336151952264,a,60
550,"a_roi60:C(type, Treatment('prototype'))[T.exception]",0.07017684686305238,a,60
551,"a_roi60:C(type, Treatment('prototype'))[T.rule follower]",-0.11763094195185307,a,60
552,t_Intercept,0.3625893624419712,t,60
553,"t_C(type, Treatment('prototype'))[T.exception]",0.004317492496654578,t,60
554,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02290324110631088,t,60
555,t_roi60,0.2292979213888994,t,60
556,"t_roi60:C(type, Treatment('prototype'))[T.exception]",-0.060454187258345275,t,60
557,"t_roi60:C(type, Treatment('prototype'))[T.rule follower]",-0.1006103777124111,t,60
558,v_Intercept,0.055982464250841364,v,61
559,"v_C(type, Treatment('prototype'))[T.exception]",0.11102554497544356,v,61
560,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0859939524329818,v,61
561,v_roi61,-0.03884159508770702,v,61
562,"v_roi61:C(type, Treatment('prototype'))[T.exception]",0.4112266661067903,v,61
563,"v_roi61:C(type, Treatment('prototype'))[T.rule follower]",-0.6456967830483435,v,61
564,a_Intercept,1.72095232653014,a,61
565,"a_C(type, Treatment('prototype'))[T.exception]",0.08651737068236343,a,61
566,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02930314089861347,a,61
567,a_roi61,-0.9085084782728748,a,61
568,"a_roi61:C(type, Treatment('prototype'))[T.exception]",-0.2344959695972515,a,61
569,"a_roi61:C(type, Treatment('prototype'))[T.rule follower]",-0.1432285172406993,a,61
570,t_Intercept,0.35305921815149954,t,61
571,"t_C(type, Treatment('prototype'))[T.exception]",0.020944647972005542,t,61
572,"t_C(type, Treatment('prototype'))[T.rule follower]",0.029286999088345325,t,61
573,t_roi61,-0.11721258616690505,t,61
574,"t_roi61:C(type, Treatment('prototype'))[T.exception]",0.24271377483812584,t,61
575,"t_roi61:C(type, Treatment('prototype'))[T.rule follower]",0.004224947029149662,t,61
576,v_Intercept,0.03342596047806705,v,65
577,"v_C(type, Treatment('prototype'))[T.exception]",0.10911383596708828,v,65
578,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04072666486150284,v,65
579,v_roi65,-0.03897159020777352,v,65
580,"v_roi65:C(type, Treatment('prototype'))[T.exception]",-0.27113942692716275,v,65
581,"v_roi65:C(type, Treatment('prototype'))[T.rule follower]",-0.2609256266112916,v,65
582,a_Intercept,1.6791077046541258,a,65
583,"a_C(type, Treatment('prototype'))[T.exception]",0.14837744285108634,a,65
584,"a_C(type, Treatment('prototype'))[T.rule follower]",0.03592100546298549,a,65
585,a_roi65,1.3467718846454957,a,65
586,"a_roi65:C(type, Treatment('prototype'))[T.exception]",-0.5217333257301351,a,65
587,"a_roi65:C(type, Treatment('prototype'))[T.rule follower]",0.13893571387124104,a,65
588,t_Intercept,0.3623049518029126,t,65
589,"t_C(type, Treatment('prototype'))[T.exception]",-0.005747119555940525,t,65
590,"t_C(type, Treatment('prototype'))[T.rule follower]",0.014617477655273575,t,65
591,t_roi65,-0.16296380556819634,t,65
592,"t_roi65:C(type, Treatment('prototype'))[T.exception]",0.2393856596118425,t,65
593,"t_roi65:C(type, Treatment('prototype'))[T.rule follower]",0.13647791943152132,t,65
594,v_Intercept,0.026642583490580185,v,67
595,"v_C(type, Treatment('prototype'))[T.exception]",0.14388077948554429,v,67
596,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0400389202807947,v,67
597,v_roi67,0.0901355613629724,v,67
598,"v_roi67:C(type, Treatment('prototype'))[T.exception]",-0.26943697018079793,v,67
599,"v_roi67:C(type, Treatment('prototype'))[T.rule follower]",-0.20698849150229906,v,67
600,a_Intercept,1.6677207568496373,a,67
601,"a_C(type, Treatment('prototype'))[T.exception]",0.08399288349431097,a,67
602,"a_C(type, Treatment('prototype'))[T.rule follower]",0.021439464848461376,a,67
603,a_roi67,1.2594545841686424,a,67
604,"a_roi67:C(type, Treatment('prototype'))[T.exception]",0.120601934287782,a,67
605,"a_roi67:C(type, Treatment('prototype'))[T.rule follower]",0.25260591478772043,a,67
606,t_Intercept,0.3645355340808009,t,67
607,"t_C(type, Treatment('prototype'))[T.exception]",0.028554723475184562,t,67
608,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027879735840417662,t,67
609,t_roi67,-0.12452880222584092,t,67
610,"t_roi67:C(type, Treatment('prototype'))[T.exception]",-0.091697437728556,t,67
611,"t_roi67:C(type, Treatment('prototype'))[T.rule follower]",0.0710942805505709,t,67
612,v_Intercept,0.049119943952572576,v,68
613,"v_C(type, Treatment('prototype'))[T.exception]",0.08444199083519979,v,68
614,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.029939986015389112,v,68
615,v_roi68,-0.18993210392719584,v,68
616,"v_roi68:C(type, Treatment('prototype'))[T.exception]",0.25855307663992605,v,68
617,"v_roi68:C(type, Treatment('prototype'))[T.rule follower]",-0.5068354898467371,v,68
618,a_Intercept,1.783411291224736,a,68
619,"a_C(type, Treatment('prototype'))[T.exception]",0.11089931099403733,a,68
620,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06048957196085593,a,68
621,a_roi68,0.9693802612027618,a,68
622,"a_roi68:C(type, Treatment('prototype'))[T.exception]",-0.42725979866201147,a,68
623,"a_roi68:C(type, Treatment('prototype'))[T.rule follower]",-0.19830820421635176,a,68
624,t_Intercept,0.3516883616469262,t,68
625,"t_C(type, Treatment('prototype'))[T.exception]",0.014827143428100369,t,68
626,"t_C(type, Treatment('prototype'))[T.rule follower]",0.031833530693706084,t,68
627,t_roi68,-0.18160153546057609,t,68
628,"t_roi68:C(type, Treatment('prototype'))[T.exception]",0.13034462563667615,t,68
629,"t_roi68:C(type, Treatment('prototype'))[T.rule follower]",0.14509913108047925,t,68
630,v_Intercept,0.0413862497356841,v,70
631,"v_C(type, Treatment('prototype'))[T.exception]",0.09960534152134053,v,70
632,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06290747307729272,v,70
633,v_roi70,0.055246527157769336,v,70
634,"v_roi70:C(type, Treatment('prototype'))[T.exception]",0.12333023739724693,v,70
635,"v_roi70:C(type, Treatment('prototype'))[T.rule follower]",-0.8847427095590978,v,70
636,a_Intercept,1.8000156207773532,a,70
637,"a_C(type, Treatment('prototype'))[T.exception]",0.07875279621337772,a,70
638,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04993489842331339,a,70
639,a_roi70,1.3872029844412532,a,70
640,"a_roi70:C(type, Treatment('prototype'))[T.exception]",-0.5564927275667679,a,70
641,"a_roi70:C(type, Treatment('prototype'))[T.rule follower]",0.09559429880638826,a,70
642,t_Intercept,0.3518528458227349,t,70
643,"t_C(type, Treatment('prototype'))[T.exception]",0.011199827300027209,t,70
644,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02904402457743935,t,70
645,t_roi70,-0.06109751053530332,t,70
646,"t_roi70:C(type, Treatment('prototype'))[T.exception]",-0.13816672809717126,t,70
647,"t_roi70:C(type, Treatment('prototype'))[T.rule follower]",0.05278201369789859,t,70
648,v_Intercept,0.03679977285628183,v,74
649,"v_C(type, Treatment('prototype'))[T.exception]",0.11499660207143607,v,74
650,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.054241116042603316,v,74
651,v_roi74,-0.6848666053699255,v,74
652,"v_roi74:C(type, Treatment('prototype'))[T.exception]",0.1808886056766368,v,74
653,"v_roi74:C(type, Treatment('prototype'))[T.rule follower]",0.5458463965518108,v,74
654,a_Intercept,1.8071849591263969,a,74
655,"a_C(type, Treatment('prototype'))[T.exception]",0.09343169838245867,a,74
656,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06260015036576003,a,74
657,a_roi74,1.0271580829267415,a,74
658,"a_roi74:C(type, Treatment('prototype'))[T.exception]",0.05702294419421405,a,74
659,"a_roi74:C(type, Treatment('prototype'))[T.rule follower]",0.07612744305114627,a,74
660,t_Intercept,0.3600988517933561,t,74
661,"t_C(type, Treatment('prototype'))[T.exception]",-0.00027817026345439144,t,74
662,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02235211431978293,t,74
663,t_roi74,0.2384562663201317,t,74
664,"t_roi74:C(type, Treatment('prototype'))[T.exception]",-0.4988376810355321,t,74
665,"t_roi74:C(type, Treatment('prototype'))[T.rule follower]",-0.13070807128139167,t,74
666,v_Intercept,0.03844832642302805,v,77
667,"v_C(type, Treatment('prototype'))[T.exception]",0.09108475468551992,v,77
668,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.054866709117048745,v,77
669,v_roi77,-0.4958622991738166,v,77
670,"v_roi77:C(type, Treatment('prototype'))[T.exception]",0.007462408521595076,v,77
671,"v_roi77:C(type, Treatment('prototype'))[T.rule follower]",0.526437138047984,v,77
672,a_Intercept,1.7878903301681577,a,77
673,"a_C(type, Treatment('prototype'))[T.exception]",0.0830962056699468,a,77
674,"a_C(type, Treatment('prototype'))[T.rule follower]",0.03217638473253673,a,77
675,a_roi77,1.4501183756592797,a,77
676,"a_roi77:C(type, Treatment('prototype'))[T.exception]",-0.5282640345886311,a,77
677,"a_roi77:C(type, Treatment('prototype'))[T.rule follower]",0.19235322399322197,a,77
678,t_Intercept,0.34544681442135,t,77
679,"t_C(type, Treatment('prototype'))[T.exception]",0.01078995098000126,t,77
680,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03457847285100567,t,77
681,t_roi77,-0.1707400361902911,t,77
682,"t_roi77:C(type, Treatment('prototype'))[T.exception]",-0.047957582373269865,t,77
683,"t_roi77:C(type, Treatment('prototype'))[T.rule follower]",0.10765330596904782,t,77
684,v_Intercept,0.0455902995112443,v,78
685,"v_C(type, Treatment('prototype'))[T.exception]",0.07716681145358845,v,78
686,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.046221734111988544,v,78
687,v_roi78,0.468085671725931,v,78
688,"v_roi78:C(type, Treatment('prototype'))[T.exception]",-1.0394826691551715,v,78
689,"v_roi78:C(type, Treatment('prototype'))[T.rule follower]",0.16296996067837188,v,78
690,a_Intercept,1.755813219329356,a,78
691,"a_C(type, Treatment('prototype'))[T.exception]",0.10586298952722507,a,78
692,"a_C(type, Treatment('prototype'))[T.rule follower]",0.062111451641971564,a,78
693,a_roi78,-1.6701337320170395,a,78
694,"a_roi78:C(type, Treatment('prototype'))[T.exception]",0.03834282158380553,a,78
695,"a_roi78:C(type, Treatment('prototype'))[T.rule follower]",0.2642744457074349,a,78
696,t_Intercept,0.3533153192408101,t,78
697,"t_C(type, Treatment('prototype'))[T.exception]",0.011742415718804258,t,78
698,"t_C(type, Treatment('prototype'))[T.rule follower]",0.020351211237953026,t,78
699,t_roi78,0.03970935944025422,t,78
700,"t_roi78:C(type, Treatment('prototype'))[T.exception]",-0.208152392429702,t,78
701,"t_roi78:C(type, Treatment('prototype'))[T.rule follower]",-0.1993845579582174,t,78
702,v_Intercept,0.05333684184401667,v,79
703,"v_C(type, Treatment('prototype'))[T.exception]",0.09263440420216518,v,79
704,"v_C(type, Treatment('prototype'))[T.rule follower]",0.0006653652898458706,v,79
705,v_roi79,0.31947855505724965,v,79
706,"v_roi79:C(type, Treatment('prototype'))[T.exception]",-0.7084560070988077,v,79
707,"v_roi79:C(type, Treatment('prototype'))[T.rule follower]",2.5400553326831536,v,79
708,a_Intercept,1.7159752482634605,a,79
709,"a_C(type, Treatment('prototype'))[T.exception]",0.12058672842866675,a,79
710,"a_C(type, Treatment('prototype'))[T.rule follower]",0.027829751599636958,a,79
711,a_roi79,-3.5457287108866966,a,79
712,"a_roi79:C(type, Treatment('prototype'))[T.exception]",0.8339639811516961,a,79
713,"a_roi79:C(type, Treatment('prototype'))[T.rule follower]",-1.7090361314093259,a,79
714,t_Intercept,0.3599528368363389,t,79
715,"t_C(type, Treatment('prototype'))[T.exception]",0.012992467859608572,t,79
716,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027889988247057903,t,79
717,t_roi79,0.4743389108976698,t,79
718,"t_roi79:C(type, Treatment('prototype'))[T.exception]",0.032499000379862863,t,79
719,"t_roi79:C(type, Treatment('prototype'))[T.rule follower]",-0.013482097532324657,t,79
720,v_Intercept,0.05262787533224656,v,80
721,"v_C(type, Treatment('prototype'))[T.exception]",0.07169408290684498,v,80
722,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.03846925024038511,v,80
723,v_roi80,-0.1970027847908261,v,80
724,"v_roi80:C(type, Treatment('prototype'))[T.exception]",-0.009548555484962584,v,80
725,"v_roi80:C(type, Treatment('prototype'))[T.rule follower]",-0.1856382088226256,v,80
726,a_Intercept,1.6957378076956582,a,80
727,"a_C(type, Treatment('prototype'))[T.exception]",0.11148229700977663,a,80
728,"a_C(type, Treatment('prototype'))[T.rule follower]",0.01868858368824964,a,80
729,a_roi80,1.263345903395524,a,80
730,"a_roi80:C(type, Treatment('prototype'))[T.exception]",-0.4027539082829299,a,80
731,"a_roi80:C(type, Treatment('prototype'))[T.rule follower]",0.416412675255142,a,80
732,t_Intercept,0.3684735395843069,t,80
733,"t_C(type, Treatment('prototype'))[T.exception]",0.003997722567374629,t,80
734,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02801987249609189,t,80
735,t_roi80,-0.19183615295905826,t,80
736,"t_roi80:C(type, Treatment('prototype'))[T.exception]",0.06703227373462099,t,80
737,"t_roi80:C(type, Treatment('prototype'))[T.rule follower]",0.036463737637582094,t,80
738,v_Intercept,0.03883199355754305,v,81
739,"v_C(type, Treatment('prototype'))[T.exception]",0.0991303847114948,v,81
740,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.03279252477013442,v,81
741,v_roi81,-0.08643434674124117,v,81
742,"v_roi81:C(type, Treatment('prototype'))[T.exception]",-0.6699209699639388,v,81
743,"v_roi81:C(type, Treatment('prototype'))[T.rule follower]",-0.7858694122056944,v,81
744,a_Intercept,1.7673090070183142,a,81
745,"a_C(type, Treatment('prototype'))[T.exception]",0.10801115563394613,a,81
746,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06432850896585274,a,81
747,a_roi81,0.5838561735619219,a,81
748,"a_roi81:C(type, Treatment('prototype'))[T.exception]",-0.5688248049614899,a,81
749,"a_roi81:C(type, Treatment('prototype'))[T.rule follower]",0.4210763159527557,a,81
750,t_Intercept,0.3651870746572229,t,81
751,"t_C(type, Treatment('prototype'))[T.exception]",0.003086867629154597,t,81
752,"t_C(type, Treatment('prototype'))[T.rule follower]",0.018098945914079297,t,81
753,t_roi81,-0.18736223829495247,t,81
754,"t_roi81:C(type, Treatment('prototype'))[T.exception]",0.06313802890073522,t,81
755,"t_roi81:C(type, Treatment('prototype'))[T.rule follower]",0.0956291548772888,t,81
756,v_Intercept,0.055570984717589006,v,82
757,"v_C(type, Treatment('prototype'))[T.exception]",0.06562335199452429,v,82
758,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06316337438169173,v,82
759,v_roi82,-0.5853204511624743,v,82
760,"v_roi82:C(type, Treatment('prototype'))[T.exception]",1.076347138478164,v,82
761,"v_roi82:C(type, Treatment('prototype'))[T.rule follower]",-0.0970663282787496,v,82
762,a_Intercept,1.7745367284279918,a,82
763,"a_C(type, Treatment('prototype'))[T.exception]",0.09162854017180576,a,82
764,"a_C(type, Treatment('prototype'))[T.rule follower]",0.018534035863972648,a,82
765,a_roi82,1.1569418423819755,a,82
766,"a_roi82:C(type, Treatment('prototype'))[T.exception]",0.10367860556041776,a,82
767,"a_roi82:C(type, Treatment('prototype'))[T.rule follower]",0.21113790539363567,a,82
768,t_Intercept,0.355122447788958,t,82
769,"t_C(type, Treatment('prototype'))[T.exception]",0.013979199361520804,t,82
770,"t_C(type, Treatment('prototype'))[T.rule follower]",0.0338865719300344,t,82
771,t_roi82,0.09895109295354376,t,82
772,"t_roi82:C(type, Treatment('prototype'))[T.exception]",-0.298802707130487,t,82
773,"t_roi82:C(type, Treatment('prototype'))[T.rule follower]",-0.07292846508375267,t,82
774,v_Intercept,0.08287267813235362,v,83
775,"v_C(type, Treatment('prototype'))[T.exception]",0.04724617304136109,v,83
776,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02962395405655246,v,83
777,v_roi83,0.6434559500042175,v,83
778,"v_roi83:C(type, Treatment('prototype'))[T.exception]",-1.3671953801704388,v,83
779,"v_roi83:C(type, Treatment('prototype'))[T.rule follower]",0.4638215737603098,v,83
780,a_Intercept,1.7246063564671343,a,83
781,"a_C(type, Treatment('prototype'))[T.exception]",0.08433911549841319,a,83
782,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06479697612624416,a,83
783,a_roi83,-1.7218683775726598,a,83
784,"a_roi83:C(type, Treatment('prototype'))[T.exception]",-0.5785035198273993,a,83
785,"a_roi83:C(type, Treatment('prototype'))[T.rule follower]",0.4010813891621388,a,83
786,t_Intercept,0.3607975690807378,t,83
