,node_name,peak_value,parameter,roi
89,"t_roi15:C(type, Treatment('prototype'))[T.rule follower]",0.05728804125162424,t,15
90,v_Intercept,0.054986450643076334,v,16
91,"v_C(type, Treatment('prototype'))[T.exception]",0.08621164989108299,v,16
92,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.030484543812186408,v,16
93,v_roi16,-0.10387916182511857,v,16
94,"v_roi16:C(type, Treatment('prototype'))[T.exception]",-0.05461085551379563,v,16
95,"v_roi16:C(type, Treatment('prototype'))[T.rule follower]",-0.09166560229109699,v,16
96,a_Intercept,1.7254482313715036,a,16
97,"a_C(type, Treatment('prototype'))[T.exception]",0.07804076139761153,a,16
98,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02137964226540576,a,16
99,a_roi16,1.0200123516644577,a,16
100,"a_roi16:C(type, Treatment('prototype'))[T.exception]",0.1435429989097763,a,16
101,"a_roi16:C(type, Treatment('prototype'))[T.rule follower]",0.5303942542898279,a,16
102,t_Intercept,0.3622197053119622,t,16
103,"t_C(type, Treatment('prototype'))[T.exception]",0.016638708728284546,t,16
104,"t_C(type, Treatment('prototype'))[T.rule follower]",0.0264367879841201,t,16
105,t_roi16,0.02246930365659386,t,16
106,"t_roi16:C(type, Treatment('prototype'))[T.exception]",-0.11228574801982304,t,16
107,"t_roi16:C(type, Treatment('prototype'))[T.rule follower]",-0.16282164605439695,t,16
108,v_Intercept,0.05387966435289826,v,17
109,"v_C(type, Treatment('prototype'))[T.exception]",0.11542708617847287,v,17
110,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.046460310775758656,v,17
111,v_roi17,0.046733973503772064,v,17
112,"v_roi17:C(type, Treatment('prototype'))[T.exception]",-0.7066233163082007,v,17
113,"v_roi17:C(type, Treatment('prototype'))[T.rule follower]",-0.3362444635741257,v,17
114,a_Intercept,1.7535063367040014,a,17
115,"a_C(type, Treatment('prototype'))[T.exception]",0.11475501614247878,a,17
116,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056250600092138725,a,17
117,a_roi17,1.1230664584564605,a,17
118,"a_roi17:C(type, Treatment('prototype'))[T.exception]",-0.05017374615619597,a,17
119,"a_roi17:C(type, Treatment('prototype'))[T.rule follower]",-0.032286080870290834,a,17
120,t_Intercept,0.354442942590781,t,17
121,"t_C(type, Treatment('prototype'))[T.exception]",0.01685423538794545,t,17
122,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03660256600970435,t,17
123,t_roi17,-0.06433859745181379,t,17
124,"t_roi17:C(type, Treatment('prototype'))[T.exception]",-0.06450347781723552,t,17
125,"t_roi17:C(type, Treatment('prototype'))[T.rule follower]",0.14828336493504612,t,17
126,v_Intercept,0.0290849555570451,v,18
127,"v_C(type, Treatment('prototype'))[T.exception]",0.08975863995189684,v,18
128,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.049504394111096715,v,18
129,v_roi18,-0.4322918366721913,v,18
130,"v_roi18:C(type, Treatment('prototype'))[T.exception]",0.4070162896409082,v,18
131,"v_roi18:C(type, Treatment('prototype'))[T.rule follower]",0.047980461897976216,v,18
132,a_Intercept,1.8048281254250576,a,18
133,"a_C(type, Treatment('prototype'))[T.exception]",0.06367447645259247,a,18
134,"a_C(type, Treatment('prototype'))[T.rule follower]",0.0184950724961441,a,18
135,a_roi18,0.8425092286909869,a,18
136,"a_roi18:C(type, Treatment('prototype'))[T.exception]",-0.1998951622898157,a,18
137,"a_roi18:C(type, Treatment('prototype'))[T.rule follower]",-0.3389664015339872,a,18
138,t_Intercept,0.3474816295329229,t,18
139,"t_C(type, Treatment('prototype'))[T.exception]",0.023782002079692305,t,18
140,"t_C(type, Treatment('prototype'))[T.rule follower]",0.05124132839136649,t,18
141,t_roi18,-0.10959243741910102,t,18
142,"t_roi18:C(type, Treatment('prototype'))[T.exception]",0.19264556955089385,t,18
143,"t_roi18:C(type, Treatment('prototype'))[T.rule follower]",0.3515981199363957,t,18
144,v_Intercept,0.03858240918461109,v,20
145,"v_C(type, Treatment('prototype'))[T.exception]",0.10579387488269973,v,20
146,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.05673286258779198,v,20
147,v_roi20,-0.4948109816910421,v,20
148,"v_roi20:C(type, Treatment('prototype'))[T.exception]",0.07859385920659179,v,20
149,"v_roi20:C(type, Treatment('prototype'))[T.rule follower]",-0.2743672319283954,v,20
150,a_Intercept,1.7902923087493985,a,20
151,"a_C(type, Treatment('prototype'))[T.exception]",0.127456872080869,a,20
152,"a_C(type, Treatment('prototype'))[T.rule follower]",0.0812135255339465,a,20
153,a_roi20,0.951355401754354,a,20
154,"a_roi20:C(type, Treatment('prototype'))[T.exception]",0.19084645873397754,a,20
155,"a_roi20:C(type, Treatment('prototype'))[T.rule follower]",0.6766914122451344,a,20
156,t_Intercept,0.3709251940397734,t,20
157,"t_C(type, Treatment('prototype'))[T.exception]",-0.005438390276163718,t,20
158,"t_C(type, Treatment('prototype'))[T.rule follower]",0.015989323851124754,t,20
159,t_roi20,0.19624803005455044,t,20
160,"t_roi20:C(type, Treatment('prototype'))[T.exception]",-0.2015856386888457,t,20
161,"t_roi20:C(type, Treatment('prototype'))[T.rule follower]",-0.0823040935614392,t,20
162,v_Intercept,0.05390314455479875,v,23
163,"v_C(type, Treatment('prototype'))[T.exception]",0.0860620785906421,v,23
164,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0627423362822227,v,23
165,v_roi23,-1.3019369325991526,v,23
166,"v_roi23:C(type, Treatment('prototype'))[T.exception]",1.4751050907073486,v,23
167,"v_roi23:C(type, Treatment('prototype'))[T.rule follower]",-0.36582765814986784,v,23
168,a_Intercept,1.7759912849037929,a,23
169,"a_C(type, Treatment('prototype'))[T.exception]",0.11127223104017084,a,23
170,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04958220566484717,a,23
171,a_roi23,1.0344510926869648,a,23
172,"a_roi23:C(type, Treatment('prototype'))[T.exception]",-0.3997117415523879,a,23
173,"a_roi23:C(type, Treatment('prototype'))[T.rule follower]",-0.026864963089975102,a,23
174,t_Intercept,0.3496557987556744,t,23
175,"t_C(type, Treatment('prototype'))[T.exception]",0.007926899615987117,t,23
176,"t_C(type, Treatment('prototype'))[T.rule follower]",0.032724447441882534,t,23
177,t_roi23,-0.10741863655656707,t,23
178,"t_roi23:C(type, Treatment('prototype'))[T.exception]",-0.012580472376024944,t,23
179,"t_roi23:C(type, Treatment('prototype'))[T.rule follower]",0.12813260864059933,t,23
180,v_Intercept,0.04275804819593529,v,24
181,"v_C(type, Treatment('prototype'))[T.exception]",0.17583030594181376,v,24
182,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02455345608595261,v,24
183,v_roi24,-0.017636802734270596,v,24
184,"v_roi24:C(type, Treatment('prototype'))[T.exception]",1.8353201937100907,v,24
185,"v_roi24:C(type, Treatment('prototype'))[T.rule follower]",0.5400303821264816,v,24
186,a_Intercept,1.7592627138701062,a,24
187,"a_C(type, Treatment('prototype'))[T.exception]",0.061303749147671865,a,24
188,"a_C(type, Treatment('prototype'))[T.rule follower]",0.026388164069825776,a,24
189,a_roi24,-0.37511687153000906,a,24
190,"a_roi24:C(type, Treatment('prototype'))[T.exception]",-0.5046582654343621,a,24
191,"a_roi24:C(type, Treatment('prototype'))[T.rule follower]",-0.6667970833237065,a,24
