,node_name,mode
0,v_Intercept,0.050034139217018145
1,"v_C(type, Treatment('prototype'))[T.exception]",0.07964289839463282
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06609274827095851
3,v_roi28,0.4810927347281677
4,"v_roi28:C(type, Treatment('prototype'))[T.exception]",0.026684550721511435
5,"v_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.30123104353243324
6,a_Intercept,1.7334554499537334
7,"a_C(type, Treatment('prototype'))[T.exception]",0.09314128283521275
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.06318615406230225
9,a_roi28,-2.1330605793062913
10,"a_roi28:C(type, Treatment('prototype'))[T.exception]",0.6254396508781981
11,"a_roi28:C(type, Treatment('prototype'))[T.rule follower]",0.9214600207459274
12,t_Intercept,0.3554501300893256
13,"t_C(type, Treatment('prototype'))[T.exception]",0.005167741606359869
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027566935679483318
15,t_roi28,0.22691971274524358
16,"t_roi28:C(type, Treatment('prototype'))[T.exception]",-0.18273677756820816
17,"t_roi28:C(type, Treatment('prototype'))[T.rule follower]",-0.23278913181338412
