,node_name,peak_value,parameter
5,"v_roi16:C(type, Treatment('prototype'))[T.rule follower]",-0.091665602291097,5
6,a_Intercept,1.7254482313715036,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.07804076139761153,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02137964226540576,8
9,a_roi16,1.0200123516644577,9
10,"a_roi16:C(type, Treatment('prototype'))[T.exception]",0.1435429989097763,1
11,"a_roi16:C(type, Treatment('prototype'))[T.rule follower]",0.5303942542898279,1
12,t_Intercept,0.3622197053119622,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.016638708728284546,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.0264367879841201,1
15,t_roi16,0.02246930365659386,1
16,"t_roi16:C(type, Treatment('prototype'))[T.exception]",-0.11228574801982304,1
17,"t_roi16:C(type, Treatment('prototype'))[T.rule follower]",-0.16282164605439695,1
0,v_Intercept,0.05387966435289826,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.11542708617847287,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.046460310775758656,2
3,v_roi17,0.046733973503772064,3
4,"v_roi17:C(type, Treatment('prototype'))[T.exception]",-0.7066233163082007,4
5,"v_roi17:C(type, Treatment('prototype'))[T.rule follower]",-0.3362444635741257,5
6,a_Intercept,1.7535063367040014,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.11475501614247878,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056250600092138725,8
9,a_roi17,1.1230664584564605,9
10,"a_roi17:C(type, Treatment('prototype'))[T.exception]",-0.05017374615619597,1
11,"a_roi17:C(type, Treatment('prototype'))[T.rule follower]",-0.032286080870290834,1
12,t_Intercept,0.354442942590781,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.01685423538794545,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03660256600970435,1
15,t_roi17,-0.06433859745181379,1
16,"t_roi17:C(type, Treatment('prototype'))[T.exception]",-0.06450347781723552,1
17,"t_roi17:C(type, Treatment('prototype'))[T.rule follower]",0.14828336493504612,1
0,v_Intercept,0.0290849555570451,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.08975863995189684,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.049504394111096715,2
3,v_roi18,-0.4322918366721913,3
4,"v_roi18:C(type, Treatment('prototype'))[T.exception]",0.4070162896409082,4
5,"v_roi18:C(type, Treatment('prototype'))[T.rule follower]",0.047980461897976216,5
6,a_Intercept,1.8048281254250576,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.06367447645259247,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.0184950724961441,8
9,a_roi18,0.8425092286909869,9
10,"a_roi18:C(type, Treatment('prototype'))[T.exception]",-0.19989516228981571,1
11,"a_roi18:C(type, Treatment('prototype'))[T.rule follower]",-0.3389664015339872,1
12,t_Intercept,0.3474816295329229,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.023782002079692305,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.05124132839136649,1
15,t_roi18,-0.10959243741910102,1
16,"t_roi18:C(type, Treatment('prototype'))[T.exception]",0.19264556955089385,1
17,"t_roi18:C(type, Treatment('prototype'))[T.rule follower]",0.3515981199363957,1
0,v_Intercept,0.03858240918461109,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10579387488269973,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.05673286258779198,2
3,v_roi20,-0.49481098169104204,3
4,"v_roi20:C(type, Treatment('prototype'))[T.exception]",0.07859385920659179,4
5,"v_roi20:C(type, Treatment('prototype'))[T.rule follower]",-0.2743672319283954,5
6,a_Intercept,1.7902923087493983,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.127456872080869,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.0812135255339465,8
9,a_roi20,0.951355401754354,9
10,"a_roi20:C(type, Treatment('prototype'))[T.exception]",0.19084645873397754,1
11,"a_roi20:C(type, Treatment('prototype'))[T.rule follower]",0.6766914122451344,1
12,t_Intercept,0.3709251940397734,1
13,"t_C(type, Treatment('prototype'))[T.exception]",-0.005438390276163718,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.015989323851124754,1
15,t_roi20,0.19624803005455044,1
16,"t_roi20:C(type, Treatment('prototype'))[T.exception]",-0.2015856386888457,1
17,"t_roi20:C(type, Treatment('prototype'))[T.rule follower]",-0.0823040935614392,1
0,v_Intercept,0.05390314455479875,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.0860620785906421,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0627423362822227,2
3,v_roi23,-1.3019369325991526,3
4,"v_roi23:C(type, Treatment('prototype'))[T.exception]",1.4751050907073486,4
5,"v_roi23:C(type, Treatment('prototype'))[T.rule follower]",-0.36582765814986784,5
6,a_Intercept,1.7759912849037929,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.11127223104017084,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.04958220566484717,8
9,a_roi23,1.0344510926869648,9
10,"a_roi23:C(type, Treatment('prototype'))[T.exception]",-0.3997117415523879,1
11,"a_roi23:C(type, Treatment('prototype'))[T.rule follower]",-0.026864963089975102,1
12,t_Intercept,0.3496557987556744,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.007926899615987117,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.032724447441882534,1
15,t_roi23,-0.10741863655656707,1
16,"t_roi23:C(type, Treatment('prototype'))[T.exception]",-0.012580472376024944,1
17,"t_roi23:C(type, Treatment('prototype'))[T.rule follower]",0.12813260864059933,1
0,v_Intercept,0.04275804819593529,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.17583030594181376,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02455345608595261,2
3,v_roi24,-0.017636802734270596,3
4,"v_roi24:C(type, Treatment('prototype'))[T.exception]",1.8353201937100907,4
5,"v_roi24:C(type, Treatment('prototype'))[T.rule follower]",0.5400303821264816,5
6,a_Intercept,1.7592627138701062,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.061303749147671865,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.026388164069825776,8
9,a_roi24,-0.37511687153000906,9
