,roi1,roi2,roi51,roi52,roi53,roi14,roi15,roi16,roi17,roi18,roi20,roi23,roi24,roi25,roi65,roi67,roi68,roi70,roi74,roi77,roi31,roi32,roi33,roi34,roi35,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi48,roi80,roi82,roi83,roi88,roi90,roi91,roi92,roi93,roi94
0,-0.31472878390000003,-0.8585350926,-0.2627238632,-0.5963361718,-0.6589085791,-0.4273250485,-0.5515675741,-0.4922492554,-0.5157437150999999,-0.6351274791,-0.3152456869,-0.4353840285,-0.4127354141,-0.5984545272999999,-0.3490073522,-0.6797294293,-0.4971702277,-0.3481663929,-0.4249804421,-0.3202635566,-0.5552811394,-0.557531955,-0.47581686240000004,-0.5485558783,-0.8003428137,-0.5753206162,-0.541413995,-0.6892473739,-0.3698038379,-0.5415012107,-0.8294734796,-0.6400882755,-0.4668748483,-0.5534366403000001,-0.5192183231,-0.317854594,-0.539074879,-0.5828332865,-0.5090690678,-0.48591919759999996,-0.5343426519,-0.4698380609
1,-0.2579954771052632,-0.7383062779894738,-0.2183458410263158,-0.5004922184947368,-0.5704003908842106,-0.3823930408684211,-0.4949157332368421,-0.43253627806315786,-0.45644657862631577,-0.5715683932631579,-0.2834606859421053,-0.3951495490526316,-0.37425981675263154,-0.5455754015315789,-0.3050598379473684,-0.598653228068421,-0.44281462543684214,-0.3067408285105263,-0.3849413096263158,-0.2832132175,-0.48784320086842103,-0.49900707419473683,-0.4267238787052632,-0.4986968114263158,-0.7222370597842106,-0.5177307322421052,-0.4876914655105263,-0.6336860828105263,-0.33505732154210527,-0.4916524991684211,-0.7562475756105262,-0.5773335777,-0.41952040470526314,-0.48673523216842113,-0.4641924833894737,-0.2799678795210526,-0.4831270208210526,-0.5276151140578947,-0.4611093719842106,-0.439358298,-0.4804299592052631,-0.4184390645263158
2,-0.20126217031052634,-0.6180774633789474,-0.17396781885263157,-0.40464826518947367,-0.48189220266842103,-0.3374610332368421,-0.43826389237368424,-0.37282330072631575,-0.39714944215263154,-0.5080093074263158,-0.2516756849842105,-0.3549150696052632,-0.33578421940526315,-0.49269627576315783,-0.26111232369473686,-0.5175770268368421,-0.38845902317368425,-0.26531526412105266,-0.3449021771526316,-0.2461628784,-0.4204052623368421,-0.44048219338947364,-0.3776308950105264,-0.44883774455263153,-0.644131305868421,-0.4601408482842105,-0.43396893602105263,-0.5781247917210526,-0.3003108051842105,-0.44180378763684214,-0.6830216716210527,-0.5145788799,-0.3721659611105263,-0.4200338240368422,-0.4091666436789474,-0.24208116504210525,-0.4271791626421052,-0.4723969416157895,-0.4131496761684211,-0.39279739839999994,-0.4265172665105263,-0.36704006815263157
3,-0.14452886351578953,-0.4978486487684211,-0.12958979667894738,-0.30880431188421054,-0.3933840144526316,-0.29252902560526317,-0.38161205151052635,-0.3131103233894737,-0.3378523056789473,-0.44445022158947367,-0.21989068402631579,-0.31468059015789474,-0.2973086220578947,-0.43981714999473676,-0.21716480944210526,-0.43650082560526315,-0.33410342091052636,-0.22388969973157896,-0.30486304467894737,-0.20911253929999998,-0.3529673238052632,-0.3819573125842105,-0.3285379113157895,-0.39897867767894735,-0.5660255519526316,-0.40255096432631576,-0.38024640653157893,-0.522563500631579,-0.2655642888263158,-0.39195507610526314,-0.6097957676315789,-0.45182418209999997,-0.32481151751578946,-0.3533324159052632,-0.3541408039684211,-0.20419445056315788,-0.37123130446315783,-0.4171787691736842,-0.3651899803526316,-0.34623649879999996,-0.37260457381578943,-0.3156410717789474
4,-0.08779555672105269,-0.3776198341578948,-0.08521177450526315,-0.21296035857894735,-0.3048758262368421,-0.24759701797368422,-0.32496021064736846,-0.2533973460526316,-0.27855516920526313,-0.38089113575263156,-0.18810568306842104,-0.2744461107105263,-0.25883302471052627,-0.38693802422631574,-0.17321729518947368,-0.3554246243736842,-0.2797478186473684,-0.1824641353421053,-0.26482391220526313,-0.1720622002,-0.2855293852736842,-0.3234324317789473,-0.27944492762105266,-0.3491196108052631,-0.4879197980368421,-0.344961080368421,-0.3265238770421053,-0.46700220954210525,-0.23081777246842103,-0.3421063645736842,-0.5365698636421052,-0.3890694843,-0.2774570739210526,-0.2866310077736843,-0.2991149642578948,-0.1663077360842105,-0.31528344628421046,-0.36196059673157893,-0.3172302845368421,-0.2996755992,-0.3186918811210526,-0.2642420754052631
5,-0.031062249926315844,-0.2573910195473684,-0.04083375233157893,-0.11711640527368417,-0.21636763802105263,-0.20266501034210527,-0.2683083697842105,-0.19368436871578948,-0.21925803273157896,-0.31733204991578945,-0.1563206821105263,-0.23421163126315792,-0.2203574273631579,-0.3340588984578947,-0.1292697809368421,-0.2743484231421053,-0.22539221638421053,-0.14103857095263161,-0.22478477973157895,-0.1350118611,-0.21809144674210523,-0.2649075509736842,-0.2303519439263158,-0.2992605439315789,-0.4098140441210526,-0.2873711964105263,-0.2728013475526316,-0.41144091845263153,-0.19607125611052628,-0.29225765304210527,-0.46334395965263153,-0.3263147865,-0.23010263032631578,-0.21992959964210534,-0.24408912454736847,-0.12842102160526314,-0.2593355881052631,-0.3067424242894737,-0.26927058872105264,-0.2531146996,-0.26477918842631576,-0.21284307903157895
6,0.02567105686842097,-0.13716220493684217,0.003544269842105263,-0.02127245196842109,-0.1278594498052632,-0.15773300271052632,-0.21165652892105263,-0.13397139137894742,-0.15996089625789472,-0.25377296407894734,-0.12453568115263158,-0.19397715181578948,-0.18188183001578945,-0.28117977268947364,-0.0853222666842105,-0.1932722219105263,-0.17103661412105264,-0.09961300656315791,-0.18474564725789472,-0.09796152199999997,-0.1506535082105263,-0.20638267016842105,-0.181258960231579,-0.24940147705789473,-0.33170829020526316,-0.22978131245263156,-0.21907881806315788,-0.35587962736315787,-0.16132473975263156,-0.24240894151052628,-0.3901180556631579,-0.2635600887,-0.18274818673157894,-0.15322819151052636,-0.1890632848368422,-0.09053430712631577,-0.2033877299263157,-0.2515242518473684,-0.22131089290526318,-0.20655379999999995,-0.2108664957315789,-0.16144408265789473
7,0.08240436366315784,-0.01693339032631591,0.047922292015789514,0.0745715013368421,-0.03935126158947366,-0.11280099507894736,-0.15500468805789475,-0.07425841404210531,-0.1006637597842105,-0.19021387824210523,-0.09275068019473684,-0.15374267236842104,-0.14340623266842106,-0.22830064692105256,-0.041374752431578954,-0.1121960206789474,-0.11668101185789476,-0.05818744217368427,-0.14470651478421054,-0.06091118289999997,-0.08321556967894739,-0.14785778936315785,-0.13216597653684214,-0.19954241018421048,-0.2536025362894736,-0.1721914284947368,-0.16535628857368423,-0.3003183362736842,-0.12657822339473682,-0.19256022997894734,-0.31689215167368423,-0.20080539089999994,-0.1353937431368421,-0.08652678337894742,-0.13403744512631588,-0.0526475926473684,-0.14743987174736833,-0.19630607940526312,-0.17335119708947366,-0.15999290039999997,-0.1569538030368421,-0.1100450862842105
8,0.13913767045789466,0.10329542428421046,0.09230031418947371,0.17041545464210528,0.04915692662631577,-0.06786898744736841,-0.09835284719473686,-0.014545436705263204,-0.04136662331052632,-0.12665479240526312,-0.060965679236842096,-0.11350819292105263,-0.10493063532105262,-0.17542152115263154,0.0025727618210526493,-0.031119819447368413,-0.06232540959473687,-0.016761877784210566,-0.1046673823105263,-0.023860843799999976,-0.01577763114736841,-0.08933290855789472,-0.08307299284210529,-0.1496833433105263,-0.17549678237368416,-0.11460154453684207,-0.11163375908421053,-0.2447570451842105,-0.09183170703684207,-0.1427115184473684,-0.24366624768421052,-0.13805069309999995,-0.08803929954210526,-0.019825375247368493,-0.07901160541578955,-0.014760878168421032,-0.09149201356842096,-0.14108790696315787,-0.1253915012736842,-0.11343200079999999,-0.10304111034210522,-0.05864608991052628
9,0.19587097725263147,0.22352423889473683,0.1366783363631579,0.26625940794736846,0.1376651148421052,-0.02293697981578946,-0.041701006331578916,0.045167540631578906,0.017930513163157857,-0.063095706568421,-0.02918067827894738,-0.07327371347368422,-0.06645503797368418,-0.12254239538421052,0.04652027607368425,0.04995638178421058,-0.007969807331578982,0.024663686605263135,-0.06462824983684207,0.01318949530000002,0.05166030738421057,-0.030808027752631584,-0.03398000914736843,-0.09982427643684211,-0.09739102845789471,-0.057011660578947354,-0.057911229594736824,-0.18919575409473677,-0.05708519067894735,-0.09286280691578946,-0.17044034369473682,-0.07529599529999997,-0.040684855947368426,0.046876032884210495,-0.02398576570526323,0.023125836310526338,-0.03554415538947353,-0.08586973452105262,-0.07743180545789474,-0.0668711012,-0.04912841764736836,-0.007247093536842053
10,0.25260428404736834,0.3437530535052632,0.18105635853684215,0.36210336125263165,0.22617330305789474,0.021995027815789492,0.014950834531578971,0.10488051796842102,0.07722764963684203,0.00046337926842110466,0.0026043226789473906,-0.03303923402631581,-0.0279794406263158,-0.0696632696157895,0.0904677903263158,0.13103258301578946,0.04638579493157896,0.06608925099473678,-0.024589117363157886,0.050239834400000016,0.11909824591578955,0.027716853052631607,0.01511297454736843,-0.049965209563157864,-0.019285274542105157,0.0005782233789474178,-0.004188700105263177,-0.13363446300526305,-0.022338674321052576,-0.04301409538421053,-0.09721443970526311,-0.012541297499999993,0.0066695876473684135,0.11357744101578937,0.031040074005263096,0.06101255078947371,0.020403702789473788,-0.03065156207894737,-0.029472109642105226,-0.020310201600000022,0.004784275047368447,0.044151902836842116
11,0.3093375908421052,0.46398186811578934,0.22543438071052635,0.4579473145578947,0.31468149127368417,0.06692703544736844,0.07160267539473686,0.16459349530526313,0.13652478611052632,0.06402246510526322,0.034389323636842106,0.007195245421052654,0.01049615672105264,-0.01678414384736837,0.1344153045789474,0.21210878424736845,0.10074139719473679,0.10751481538421048,0.01545001511052635,0.08729017350000001,0.1865361844473684,0.0862417338578948,0.06420595824210523,-0.0001061426894736206,0.05882047937368429,0.05816810733684219,0.04953382938421047,-0.07807317191578944,0.012407842036842143,0.006834616147368466,-0.023988535715789516,0.0502134003000001,0.05402403124210525,0.18027884914736836,0.08606591371578942,0.09889926526842108,0.0763515609684211,0.02456661036315788,0.01848758617368429,0.02625069799999996,0.05869696774210531,0.0955508992105264
12,0.366070897636842,0.5842106827263157,0.26981240288421054,0.5537912678631578,0.4031896794894736,0.1118590430789474,0.12825451625789475,0.22430647264210513,0.1958219225842105,0.12758155094210533,0.06617432459473682,0.047429724868421064,0.04897175406842108,0.03609498192105265,0.178362818831579,0.29318498547894745,0.15509699945789474,0.14894037977368418,0.055489147584210585,0.12434051260000006,0.2539741229789474,0.14476661466315788,0.11329894193684203,0.04975292418421051,0.13692623328947373,0.11575799129473685,0.10325635887368423,-0.022511880826315722,0.04715435839473686,0.05668332767894746,0.04923736827368419,0.11296809810000008,0.10137847483684209,0.24698025727894735,0.14109175342631564,0.13678597974736845,0.13229941914736854,0.07978478280526324,0.0664472819894737,0.07281159760000006,0.11260966043684217,0.14694989558421057
13,0.42280420443157885,0.7044394973368421,0.3141904250578948,0.6496352211684211,0.491697867705263,0.1567910507105263,0.18490635712105263,0.28401944997894724,0.25511905905789467,0.19114063677894744,0.0979593255526316,0.08766420431578947,0.08744735141578946,0.08897410768947367,0.22231033308421055,0.37426118671052633,0.20945260172105257,0.19036594416315783,0.09552828005789477,0.16139085170000006,0.32141206151052637,0.20329149546842107,0.16239192563157895,0.09961199105789476,0.21503198720526318,0.17334787525263162,0.15697888836315788,0.033049410263158,0.08190087475263164,0.10653203921052634,0.1224632722631579,0.17572279590000006,0.14873291843157893,0.3136816654105262,0.19611759313684196,0.17467269422631582,0.18824727732631596,0.1350029552473685,0.11440697780526321,0.11937249720000004,0.16652235313157904,0.19834889195789485
14,0.4795375112263157,0.8246683119473682,0.35856844723157905,0.7454791744736842,0.5802060559210527,0.2017230583421053,0.24155819798421052,0.34373242731578935,0.31441619553157896,0.25469972261578955,0.1297443265105263,0.12789868376315794,0.12592294876315785,0.1418532334578948,0.2662578473368421,0.4553373879421052,0.2638082039842105,0.23179150855263148,0.13556741253157895,0.19844119080000006,0.38885000004210524,0.26181637627368426,0.21148490932631575,0.149471057931579,0.29313774112105284,0.2309377592105264,0.21070141785263152,0.0886107013526316,0.11664739111052636,0.15638075074210533,0.1956891762526315,0.23847749370000015,0.19608736202631577,0.3803830735421052,0.2511434328473683,0.2125594087052632,0.24419513550526328,0.19022112768947375,0.16236667362105273,0.16593339680000002,0.2204350458263158,0.24974788833157902
15,0.5362708180210525,0.9448971265578946,0.4029464694052632,0.8413231277789475,0.6687142441368421,0.2466550659736843,0.2982100388473684,0.40344540465263146,0.37371333200526313,0.31825880845263166,0.16152932746842108,0.1681331632105263,0.16439854611052634,0.19473235922631582,0.31020536158947376,0.5364135891736843,0.31816380624736834,0.27321707294210523,0.17560654500526324,0.23549152990000005,0.4562879385736843,0.32034125707894734,0.26057789302105266,0.19933012480526313,0.3712434950368423,0.28852764316842106,0.2644239473421053,0.14417199244210532,0.15139390746842113,0.20622946227368422,0.2689150802421053,0.30123219150000013,0.2434418056210526,0.4470844816736842,0.3061692725578946,0.2504461231842105,0.3001429936842106,0.245439300131579,0.21032636943684213,0.2124942964,0.27434773852105265,0.3011468847052633
16,0.5930041248157893,1.065125941168421,0.44732449157894744,0.9371670810842105,0.7572224323526315,0.2915870736052632,0.3548618797105263,0.46315838198947357,0.4330104684789473,0.38181789428947377,0.1933143284263158,0.20836764265789476,0.20287414345789473,0.24761148499473684,0.3541528758421053,0.6174897904052632,0.3725194085105263,0.3146426373315789,0.21564567747894742,0.27254186900000005,0.5237258771052632,0.37886613788421053,0.30967087671578947,0.24918919167894737,0.44934924895263173,0.3461175271263158,0.31814647683157893,0.19973328353157904,0.18614042382631585,0.2560781738052632,0.3421409842315789,0.3639868893000001,0.29079624921578945,0.5137858898052631,0.36119511226842094,0.2883328376631579,0.35609085186315803,0.30065747257368425,0.25828606525263165,0.259055196,0.3282604312157895,0.35254588107894747
17,0.6497374316105262,1.1853547557789472,0.4917025137526317,1.0330110343894736,0.845730620568421,0.3365190812368421,0.4115137205736842,0.5228713593263157,0.4923076049526316,0.445376980126316,0.2250993293842105,0.24860212210526322,0.2413497408052631,0.30049061076315786,0.39810039009473686,0.6985659916368421,0.4268750107736842,0.3560682017210525,0.2556848099526316,0.30959220810000004,0.5911638156368421,0.4373910186894737,0.35876386041052627,0.2990482585526316,0.5274550028684212,0.4037074110842106,0.3718690063210526,0.25529457462105276,0.22088694018421057,0.3059268853368422,0.4153668882210525,0.4267415871000001,0.3381506928105263,0.580487297936842,0.41622095197894726,0.32621955214210535,0.41203871004210546,0.3558756450157895,0.30624576106842116,0.30561609559999997,0.3821731239105264,0.40394487745263163
18,0.706470738405263,1.3055835703894738,0.5360805359263159,1.128854987694737,0.9342388087842104,0.3814510888684211,0.4681655614368422,0.5825843366631578,0.5516047414263157,0.508936065963158,0.2568843303421052,0.2888366015526316,0.2798253381526316,0.3533697365315789,0.4420479043473685,0.7796421928684212,0.48123061303684206,0.3974937661105263,0.2957239424263159,0.34664254720000004,0.6586017541684211,0.4959158994947368,0.4078568441052632,0.34890732542631575,0.6055607567842106,0.46129729504210526,0.42559153581052633,0.3108558657105265,0.2556334565421053,0.3557755968684211,0.4885927922105263,0.4894962849000001,0.3855051364052631,0.647188706068421,0.4712467916894736,0.36410626662105267,0.4679865682210529,0.41109381745789475,0.35420545688421057,0.35217699519999995,0.43608581660526324,0.4553438738263159
19,0.7632040452,1.425812385,0.5804585581,1.224698941,1.022746997,0.4263830965,0.5248174023,0.642297314,0.6109018779,0.5724951518,0.2886693313,0.329071081,0.3183009355,0.40624886229999996,0.4859954186,0.8607183941,0.5355862153000001,0.4389193305,0.3357630749,0.38369288630000004,0.7260396926999999,0.5544407803,0.4569498278,0.3987663923,0.6836665107,0.518887179,0.47931406530000004,0.3664171568,0.2903799729,0.4056243084,0.5618186962,0.5522509827000001,0.43285958,0.7138901142,0.5262726314,0.4019929811,0.5239344264,0.4663119899,0.40216515270000003,0.3987378948,0.4899985093,0.5067428702000001
