,proto_slopes,rulefollower_slopes,exception_slopes,proto_rf,rf_excep,proto_excep
1,0.879718502,1.194965866,1.230340299,-0.315247364,-0.035374434,-0.350621798
2,0.892346656,1.21816847,1.250451524,-0.325821814,-0.032283055,-0.358104869
3,0.96783477,1.483298414,1.451750803,-0.515463644,0.031547611,-0.483916033
4,0.830661839,1.297320093,1.636100453,-0.466658253,-0.33878036,-0.805438614
5,0.76513984,1.406794333,1.843306584,-0.641654494,-0.43651225,-1.078166744
6,0.662335319,0.94734846,1.288516698,-0.285013141,-0.341168238,-0.626181379
7,0.847099113,1.074340516,1.369592938,-0.227241403,-0.295252422,-0.522493825
8,0.872268084,1.000116248,0.699202811,-0.127848164,0.300913437,0.173065273
9,0.690742464,1.027007636,0.637072295,-0.336265171,0.38993534,0.053670169
10,0.807567369,0.481834777,0.70460235,0.325732592,-0.222767573,0.102965019
11,0.794959011,0.464964098,0.698640533,0.329994913,-0.233676435,0.096318478
12,0.84135638,0.642654469,0.846720236,0.198701911,-0.204065767,-0.005363856
13,0.890471896,0.726527167,0.860386642,0.163944729,-0.133859475,0.030085254
14,0.909614561,0.67135623,1.17685365,0.238258331,-0.50549742,-0.267239089
15,0.826430585,1.06390017,1.133244759,-0.237469585,-0.069344589,-0.306814173
16,0.733895134,0.924600637,1.502472787,-0.190705503,-0.57787215,-0.768577653
17,0.773472623,0.73251659,1.518683677,0.040956033,-0.786167087,-0.745211054
18,0.901057597,0.908977785,0.734660425,-0.007920188,0.17431736,0.166397171
19,1.049238524,0.848300041,0.954330271,0.200938483,-0.10603023,0.094908253
20,1.002774558,0.745890136,1.177563838,0.256884422,-0.431673702,-0.17478928
21,0.982180822,0.869812056,1.149381081,0.112368766,-0.279569026,-0.16720026
22,0.993993686,0.824056519,1.181379269,0.169937168,-0.357322751,-0.187385583
23,1.073473025,1.071721094,1.507173797,0.001751931,-0.435452704,-0.433700772
24,0.901973398,1.033898273,1.286665769,-0.131924875,-0.252767496,-0.38469237
25,1.05478222,1.152947546,1.138712264,-0.098165325,0.014235281,-0.083930044
26,0.878460258,1.340458741,1.299766361,-0.461998483,0.04069238,-0.421306103
27,0.765748547,0.688762755,1.411953444,0.076985792,-0.723190689,-0.646204897
28,0.802135773,0.705315079,1.467217805,0.096820694,-0.761902726,-0.665082033
29,0.818827902,0.675529389,1.244614218,0.143298513,-0.569084828,-0.425786315
30,0.752397264,0.568378173,1.150990413,0.184019091,-0.58261224,-0.398593149
31,0.813752,0.577666142,1.263591103,0.236085858,-0.685924961,-0.449839103
32,0.886838672,0.802449342,0.914369944,0.084389331,-0.111920602,-0.027531272
33,0.873963546,0.753670555,1.163661975,0.120292991,-0.40999142,-0.289698429
34,0.815317657,1.226401495,1.116974349,-0.411083838,0.109427145,-0.301656693
35,0.921141959,0.917990677,1.249476569,0.003151282,-0.331485892,-0.328334611
36,0.948462427,1.100661894,1.285083933,-0.152199467,-0.184422039,-0.336621506
37,1.036340088,1.278028449,1.422224379,-0.241688361,-0.14419593,-0.385884291
38,0.948627231,1.320832451,1.661374432,-0.372205221,-0.340541981,-0.712747202
39,0.52452348,1.042166848,1.616942679,-0.517643368,-0.574775831,-1.092419198
40,0.585872083,0.956425633,1.258886145,-0.37055355,-0.302460512,-0.673014062
41,0.634200228,1.028145022,1.035474345,-0.393944794,-0.007329323,-0.401274117
42,0.665322663,1.264217247,1.338586746,-0.598894584,-0.074369499,-0.673264083
43,0.657875358,1.283021817,1.205587541,-0.62514646,0.077434276,-0.547712184
44,0.678082973,1.479242011,0.509438443,-0.801159039,0.969803569,0.16864453
45,0.728191198,1.365348347,0.238236745,-0.637157149,1.127111602,0.489954453
46,0.798490933,1.511003927,1.002109326,-0.712512994,0.508894601,-0.203618393
47,0.665148407,1.299752029,0.848241283,-0.634603622,0.451510746,-0.183092876
48,0.678147122,1.187731357,1.10930627,-0.509584235,0.078425087,-0.431159148
49,0.726653951,1.482217117,1.432971365,-0.755563167,0.049245753,-0.706317414
50,0.649996671,1.529834314,1.537633946,-0.879837643,-0.007799632,-0.887637275
51,0.542358521,1.382180137,1.41190711,-0.839821616,-0.029726973,-0.869548589
52,0.461032239,1.313439275,1.256707044,-0.852407036,0.056732232,-0.795674804
53,0.727253387,1.428693578,1.598661164,-0.701440191,-0.169967586,-0.871407776
54,0.637682057,1.535129015,1.266981221,-0.897446959,0.268147794,-0.629299165
55,0.483001081,1.485766908,0.771181194,-1.002765827,0.714585714,-0.288180114
56,0.4324269,1.306272077,0.743544425,-0.873845177,0.562727652,-0.311117524
57,0.524300723,1.106662971,1.289848572,-0.582362248,-0.183185601,-0.765547849
58,0.578451047,1.304328234,1.759353049,-0.725877188,-0.455024815,-1.180902002
59,0.558086221,1.282158959,1.610161727,-0.724072738,-0.328002768,-1.052075506
60,0.684249465,1.222747353,1.612995537,-0.538497889,-0.390248184,-0.928746072
61,0.446719329,1.441543893,1.400771314,-0.994824564,0.040772579,-0.954051985
62,0.535453616,1.176022459,1.516974417,-0.640568843,-0.340951958,-0.981520801
63,0.523435891,1.429952756,1.479833222,-0.906516865,-0.049880466,-0.956397331
64,0.410924368,1.27124757,1.383660323,-0.860323202,-0.112412753,-0.972735955
65,0.596220033,0.718012416,1.410321454,-0.121792382,-0.692309038,-0.81410142
66,0.529707703,0.713737799,1.192788482,-0.184030096,-0.479050683,-0.663080779
67,0.529299743,0.996874519,1.086752153,-0.467574777,-0.089877634,-0.557452411
68,0.540699519,0.903217018,1.10733235,-0.3625175,-0.204115332,-0.566632832
69,0.521772358,0.898506674,1.096770726,-0.376734316,-0.198264052,-0.574998368
70,0.537181879,0.897324332,0.997328948,-0.360142453,-0.100004616,-0.46014707
71,0.480951166,0.926631307,0.882274509,-0.445680142,0.044356798,-0.401323343
72,0.576119416,0.824698787,1.08460033,-0.248579371,-0.259901543,-0.508480914
73,0.438356592,0.625430101,0.79768953,-0.187073509,-0.17225943,-0.359332939
74,0.410394583,0.582507656,1.191118295,-0.172113073,-0.60861064,-0.780723713
75,0.366038846,0.378896956,1.016406093,-0.01285811,-0.637509136,-0.650367246
76,0.520902565,0.565111761,1.335294492,-0.044209196,-0.770182732,-0.814391928
77,0.800549957,0.471338418,0.792257975,0.329211539,-0.320919557,0.008291983
78,0.64001369,0.633525278,0.633065859,0.006488412,0.000459419,0.006947831
79,0.691068746,0.669958894,0.749950263,0.021109852,-0.07999137,-0.058881518
80,0.939554283,1.204855833,1.066649903,-0.265301551,0.138205931,-0.12709562
81,0.940757606,1.247709438,1.050815497,-0.306951832,0.196893942,-0.11005789
82,1.008000746,1.384252031,1.412292479,-0.376251285,-0.028040448,-0.404291732
83,1.004300789,1.404565322,1.437859681,-0.400264533,-0.033294359,-0.433558892
84,1.094346543,1.099111444,1.364981145,-0.004764901,-0.265869701,-0.270634602
85,1.079170552,1.039342919,1.331974772,0.039827634,-0.292631854,-0.25280422
86,0.916200506,0.869829966,1.460186783,0.04637054,-0.590356816,-0.543986277
87,0.861041597,0.724146956,1.25000878,0.13689464,-0.525861824,-0.388967184
88,0.955572403,1.048539723,1.136464162,-0.09296732,-0.08792444,-0.18089176
89,1.018116181,1.242445961,0.933095977,-0.22432978,0.309349985,0.085020204
90,1.062292915,0.97641555,1.017539267,0.085877365,-0.041123718,0.044753648
